gest_wks n P03 P05 P50 P95 P97
15+0 17 4.34 4.62 6.61 8.59 8.87
16+0 15 4.39 4.67 6.65 8.63 8.91
17+0 17 4.44 4.72 6.70 8.68 8.97
18+0 18 4.49 4.78 6.76 8.74 9.02
19+0 19 4.56 4.84 6.82 8.80 9.09
20+0 20 4.63 4.91 6.89 8.87 9.16
21+0 15 4.71 4.99 6.97 8.95 9.24
22+0 18 4.79 5.08 7.06 9.04 9.32
23+0 21 4.89 5.17 7.15 9.13 9.42
24+0 15 4.99 5.27 7.25 9.24 9.52
25+0 19 5.10 5.38 7.37 9.35 9.63
26+0 18 5.22 5.51 7.49 9.47 9.75
27+0 17 5.35 5.64 7.62 9.60 9.88
28+0 19 5.49 5.78 7.76 9.74 10.02
29+0 22 5.65 5.93 7.91 9.89 10.17
30+0 19 5.81 6.09 8.07 10.05 10.34
31+0 17 5.98 6.26 8.24 10.23 10.51
32+0 13 6.17 6.45 8.43 10.41 10.69
33+0 18 6.36 6.65 8.63 10.61 10.89
34+0 17 6.57 6.85 8.84 10.82 11.10
35+0 15 6.79 7.08 9.06 11.04 11.32
36+0 9 7.03 7.31 9.29 11.27 11.56
