gest_wks n P03 P05 P50 P95 P97
15+0 19 1.71 1.82 2.82 4.36 4.64
16+0 17 1.96 2.08 3.20 4.92 5.24
17+0 17 2.19 2.33 3.56 5.44 5.79
18+0 18 2.41 2.56 3.89 5.92 6.29
19+0 19 2.61 2.77 4.20 6.36 6.75
20+0 21 2.80 2.97 4.48 6.76 7.17
21+0 15 2.97 3.15 4.73 7.12 7.55
22+0 18 3.12 3.31 4.97 7.45 7.90
23+0 21 3.26 3.46 5.18 7.75 8.21
24+0 16 3.39 3.60 5.37 8.02 8.50
25+0 17 3.51 3.72 5.55 8.27 8.76
26+0 19 3.62 3.83 5.71 8.50 8.99
27+0 15 3.72 3.94 5.85 8.70 9.21
28+0 16 3.81 4.03 5.99 8.89 9.41
29+0 20 3.90 4.12 6.11 9.06 9.59
30+0 16 3.97 4.20 6.22 9.22 9.75
31+0 13 4.04 4.27 6.33 9.36 9.90
32+0 14 4.11 4.34 6.42 9.49 10.04
33+0 12 4.17 4.40 6.51 9.62 10.17
34+0 13 4.22 4.46 6.59 9.73 10.28
35+0 11 4.27 4.51 6.66 9.83 10.39
36+0 5 4.32 4.56 6.73 9.92 10.49
