gest_wks P03 P10 P25 P50 P75 P90 P97
8+2 8.1 10.1 12.3 14.6 17.0 19.1 21.2
8+3 9.3 11.5 13.6 16.1 18.5 20.7 22.8
8+4 10.6 12.8 15.0 17.5 20.0 22.3 24.5
8+5 11.9 14.1 16.4 19.0 21.5 23.8 26.1
8+6 13.1 15.5 17.8 20.5 23.1 25.4 27.8
9+0 14.4 16.8 19.3 21.9 24.6 27.1 29.4
9+1 15.8 18.2 20.7 23.4 26.2 28.7 31.1
9+2 17.1 19.6 22.1 24.9 27.8 30.3 32.8
9+3 18.4 21.0 23.6 26.5 29.3 31.9 34.5
9+4 19.7 22.4 25.0 28.0 30.9 33.6 36.2
9+5 21.1 23.8 26.5 29.5 32.5 35.3 38.0
9+6 22.5 25.2 28.0 31.1 34.2 36.9 39.7
10+0 23.8 26.6 29.5 32.6 35.8 38.6 41.4
10+1 25.2 28.1 31.0 34.2 37.4 40.3 43.2
10+2 26.6 29.5 32.5 35.8 39.1 42.0 45.0
10+3 28.0 31.0 34.0 37.4 40.7 43.7 46.7
10+4 29.4 32.5 35.6 39.0 42.4 45.5 48.5
10+5 30.9 34.0 37.1 40.6 44.1 47.2 50.3
10+6 32.3 35.5 38.7 42.2 45.8 49.0 52.1
11+0 33.8 37.0 40.2 43.8 47.5 50.7 53.9
11+1 35.2 38.5 41.8 45.5 49.2 52.5 55.8
11+2 36.7 40.0 43.4 47.1 50.9 54.3 57.6
11+3 38.2 41.6 45.0 48.8 52.6 56.1 59.5
11+4 39.7 43.1 46.6 50.5 54.4 57.9 61.3
11+5 41.2 44.7 48.2 52.2 56.1 59.7 63.2
11+6 42.7 46.2 49.9 53.9 57.9 61.5 65.1
12+0 44.2 47.8 51.5 55.6 59.7 63.3 67.0
12+1 45.7 49.4 53.2 57.3 61.5 65.2 68.9
12+2 47.3 51.0 54.8 59.0 63.3 67.0 70.8
12+3 48.8 52.6 56.5 60.8 65.1 68.9 72.7
12+4 50.4 54.3 58.2 62.5 66.9 70.8 74.7
12+5 52.0 55.9 59.9 64.3 68.7 72.7 76.6
12+6 53.6 57.5 61.6 66.1 70.5 74.6 78.6
13+0 55.2 59.2 63.3 67.8 72.4 76.5 80.5
13+1 56.8 60.9 65.0 69.6 74.3 78.4 82.5
13+2 58.4 62.5 66.8 71.4 76.1 80.3 84.5
13+3 60.0 64.2 68.5 73.3 78.0 82.3 86.5
13+4 61.7 65.9 70.3 75.1 79.9 84.2 88.5
13+5 63.3 67.7 72.0 76.9 81.8 86.2 90.5
13+6 65.0 69.4 73.8 78.8 83.7 88.2 92.6
14+0 66.7 71.1 75.6 80.6 85.7 90.2 94.6
14+1 68.3 72.8 77.4 82.5 87.6 92.2 96.7
14+2 70.0 74.6 79.2 84.4 89.5 94.2 98.7
14+3 71.7 76.4 81.1 86.3 91.5 96.2 100.8
14+4 73.5 78.1 82.9 88.2 93.5 98.2 102.9
14+5 75.2 79.9 84.7 90.1 95.4 100.3 105.0
14+6 76.9 81.7 86.6 92.0 97.4 102.3 107.1
15+0 78.7 83.5 88.5 93.9 99.4 104.4 109.2
