gest_wks SD3neg SD2neg SD1neg SD0 SD1 SD2 SD3
8+2 4.1 7.6 11.1 14.6 18.1 21.6 25.1
8+3 5.3 8.9 12.5 16.1 19.7 23.3 26.9
8+4 6.4 10.1 13.8 17.5 21.2 24.9 28.6
8+5 7.6 11.4 15.2 19.0 22.8 26.6 30.4
8+6 8.8 12.7 16.6 20.5 24.3 28.2 32.1
9+0 10.0 14.0 18.0 21.9 25.9 29.9 33.9
9+1 11.2 15.3 19.4 23.4 27.5 31.6 35.7
9+2 12.4 16.6 20.8 24.9 29.1 33.3 37.5
9+3 13.6 17.9 22.2 26.5 30.7 35.0 39.3
9+4 14.8 19.2 23.6 28.0 32.4 36.8 41.1
9+5 16.1 20.6 25.0 29.5 34.0 38.5 43.0
9+6 17.3 21.9 26.5 31.1 35.7 40.2 44.8
10+0 18.6 23.3 28.0 32.6 37.3 42.0 46.7
10+1 19.9 24.6 29.4 34.2 39.0 43.8 48.5
10+2 21.2 26.0 30.9 35.8 40.7 45.5 50.4
10+3 22.5 27.4 32.4 37.4 42.3 47.3 52.3
10+4 23.8 28.8 33.9 39.0 44.0 49.1 54.2
10+5 25.1 30.2 35.4 40.6 45.8 50.9 56.1
10+6 26.4 31.7 36.9 42.2 47.5 52.7 58.0
11+0 27.7 33.1 38.5 43.8 49.2 54.6 59.9
11+1 29.1 34.6 40.0 45.5 51.0 56.4 61.9
11+2 30.5 36.0 41.6 47.1 52.7 58.3 63.8
11+3 31.8 37.5 43.1 48.8 54.5 60.1 65.8
11+4 33.2 39.0 44.7 50.5 56.3 62.0 67.8
11+5 34.6 40.5 46.3 52.2 58.0 63.9 69.8
11+6 36.0 42.0 47.9 53.9 59.8 65.8 71.8
12+0 37.4 43.5 49.5 55.6 61.6 67.7 73.8
12+1 38.8 45.0 51.1 57.3 63.5 69.6 75.8
12+2 40.3 46.5 52.8 59.0 65.3 71.5 77.8
12+3 41.7 48.1 54.4 60.8 67.1 73.5 79.8
12+4 43.2 49.6 56.1 62.5 69.0 75.4 81.9
12+5 44.6 51.2 57.7 64.3 70.8 77.4 83.9
12+6 46.1 52.8 59.4 66.1 72.7 79.4 86.0
13+0 47.6 54.4 61.1 67.8 74.6 81.3 88.1
13+1 49.1 56.0 62.8 69.6 76.5 83.3 90.2
13+2 50.6 57.6 64.5 71.4 78.4 85.3 92.3
13+3 52.1 59.2 66.2 73.3 80.3 87.3 94.4
13+4 53.7 60.8 68.0 75.1 82.2 89.4 96.5
13+5 55.2 62.5 69.7 76.9 84.2 91.4 98.6
13+6 56.8 64.1 71.4 78.8 86.1 93.5 100.8
14+0 58.3 65.8 73.2 80.6 88.1 95.5 102.9
14+1 59.9 67.4 75.0 82.5 90.0 97.6 105.1
14+2 61.5 69.1 76.8 84.4 92.0 99.7 107.3
14+3 63.1 70.8 78.5 86.3 94.0 101.7 109.5
14+4 64.7 72.5 80.3 88.2 96.0 103.8 111.7
14+5 66.3 74.2 82.2 90.1 98.0 105.9 113.9
14+6 67.9 76.0 84.0 92.0 100.0 108.1 116.1
15+0 69.6 77.7 85.8 93.9 102.1 110.2 118.3
