crl_mm P03 P10 P50 P90 P97
15 7+5 7+6 8+3 8+6 9+1
16 7+5 8+0 8+3 9+0 9+1
17 7+6 8+1 8+4 9+1 9+2
18 8+0 8+1 8+5 9+1 9+3
19 8+0 8+2 8+6 9+2 9+4
20 8+1 8+3 8+6 9+3 9+4
21 8+2 8+3 9+0 9+4 9+5
22 8+2 8+4 9+1 9+4 9+6
23 8+3 8+5 9+1 9+5 10+0
24 8+4 8+5 9+2 9+6 10+0
25 8+4 8+6 9+3 9+6 10+1
26 8+5 9+0 9+3 10+0 10+2
27 8+6 9+0 9+4 10+1 10+3
28 8+6 9+1 9+5 10+1 10+3
29 9+0 9+2 9+5 10+2 10+4
30 9+0 9+2 9+6 10+3 10+5
31 9+1 9+3 10+0 10+3 10+5
32 9+2 9+3 10+0 10+4 10+6
33 9+2 9+4 10+1 10+5 11+0
34 9+3 9+5 10+2 10+5 11+0
35 9+3 9+5 10+2 10+6 11+1
36 9+4 9+6 10+3 11+0 11+2
37 9+5 9+6 10+3 11+0 11+2
38 9+5 10+0 10+4 11+1 11+3
39 9+6 10+1 10+5 11+2 11+4
40 9+6 10+1 10+5 11+2 11+4
41 10+0 10+2 10+6 11+3 11+5
42 10+0 10+2 10+6 11+4 11+5
43 10+1 10+3 11+0 11+4 11+6
44 10+1 10+3 11+1 11+5 12+0
45 10+2 10+4 11+1 11+5 12+0
46 10+3 10+5 11+2 11+6 12+1
47 10+3 10+5 11+2 12+0 12+2
48 10+4 10+6 11+3 12+0 12+2
49 10+4 10+6 11+4 12+1 12+3
50 10+5 11+0 11+4 12+1 12+3
51 10+5 11+0 11+5 12+2 12+4
52 10+6 11+1 11+5 12+3 12+5
53 10+6 11+1 11+6 12+3 12+5
54 11+0 11+2 11+6 12+4 12+6
55 11+0 11+3 12+0 12+4 12+6
56 11+1 11+3 12+1 12+5 13+0
57 11+2 11+4 12+1 12+6 13+1
58 11+2 11+4 12+2 12+6 13+1
59 11+3 11+5 12+2 13+0 13+2
60 11+3 11+5 12+3 13+0 13+2
61 11+4 11+6 12+3 13+1 13+3
62 11+4 11+6 12+4 13+1 13+4
63 11+5 12+0 12+4 13+2 13+4
64 11+5 12+0 12+5 13+3 13+5
65 11+6 12+1 12+6 13+3 13+5
66 11+6 12+1 12+6 13+4 13+6
67 12+0 12+2 13+0 13+4 14+0
68 12+0 12+2 13+0 13+5 14+0
69 12+1 12+3 13+1 13+5 14+1
70 12+1 12+3 13+1 13+6 14+1
71 12+2 12+4 13+2 14+0 14+2
72 12+2 12+4 13+2 14+0 14+2
73 12+3 12+5 13+3 14+1 14+3
74 12+3 12+5 13+3 14+1 14+4
75 12+4 12+6 13+4 14+2 14+4
76 12+4 13+0 13+4 14+2 14+5
77 12+5 13+0 13+5 14+3 14+5
78 12+5 13+1 13+6 14+4 14+6
79 12+6 13+1 13+6 14+4 14+6
80 12+6 13+2 14+0 14+5 15+0
81 13+0 13+2 14+0 14+5 15+1
82 13+0 13+3 14+1 14+6 15+1
83 13+1 13+3 14+1 14+6 15+2
84 13+1 13+4 14+2 15+0 15+2
85 13+2 13+4 14+2 15+0 15+3
86 13+2 13+5 14+3 15+1 15+3
87 13+3 13+5 14+3 15+1 15+4
88 13+3 13+6 14+4 15+2 15+4
89 13+4 13+6 14+4 15+3 15+5
90 13+4 14+0 14+5 15+3 15+6
91 13+5 14+0 14+5 15+4 15+6
92 13+5 14+1 14+6 15+4 16+0
93 13+5 14+1 14+6 15+5 16+0
94 13+6 14+1 15+0 15+5 16+1
95 13+6 14+2 15+0 15+6 16+1
