# 12/01/2024 - Made using equations from https://dx.doi/10.1002/uog.22017, with
# outputs converted from GA in weeks to GA in days, then rounded to 2 d.p.
"tcd_mm" "P03" "P05" "P10" "P50" "P90" "P95" "P97"
12 90.18 90.82 91.8 95.27 98.74 99.73 100.37
13 95.02 95.74 96.84 100.73 104.62 105.72 106.44
14 99.89 100.67 101.88 106.15 110.41 111.62 112.4
15 104.77 105.61 106.92 111.52 116.12 117.42 118.27
16 109.65 110.55 111.94 116.84 121.74 123.13 124.04
17 114.51 115.47 116.93 122.11 127.29 128.76 129.71
18 119.36 120.36 121.9 127.33 132.76 134.3 135.3
19 124.18 125.22 126.83 132.49 138.15 139.76 140.8
20 128.96 130.05 131.71 137.59 143.47 145.14 146.22
21 133.71 134.82 136.55 142.63 148.7 150.43 151.55
22 138.4 139.55 141.33 147.59 153.86 155.63 156.79
23 143.04 144.23 146.05 152.49 158.93 160.75 161.94
24 147.63 148.85 150.72 157.32 163.92 165.79 167
25 152.15 153.4 155.31 162.06 168.81 170.73 171.97
26 156.61 157.88 159.84 166.73 173.63 175.58 176.85
27 161 162.29 164.28 171.31 178.35 180.34 181.63
28 165.31 166.62 168.65 175.81 182.97 185 186.32
29 169.54 170.88 172.94 180.22 187.5 189.57 190.91
30 173.68 175.04 177.14 184.54 191.93 194.03 195.39
31 177.74 179.12 181.25 188.76 196.26 198.39 199.77
32 181.71 183.11 185.26 192.88 200.49 202.64 204.05
33 185.58 187 189.18 196.89 204.6 206.79 208.21
34 189.35 190.79 193 200.81 208.61 210.82 212.26
35 193.02 194.47 196.71 204.61 212.51 214.74 216.2
36 196.58 198.05 200.32 208.3 216.29 218.55 220.02
37 200.04 201.52 203.81 211.88 219.95 222.23 223.72
38 203.37 204.88 207.19 215.33 223.48 225.79 227.29
39 206.6 208.11 210.44 218.67 226.9 229.23 230.74
40 209.7 211.23 213.58 221.88 230.18 232.54 234.06
41 212.68 214.22 216.59 224.97 233.34 235.71 237.25
42 215.53 217.08 219.48 227.92 236.36 238.75 240.31
43 218.25 219.81 222.23 230.74 239.24 241.66 243.22
44 220.83 222.41 224.84 233.42 241.99 244.42 246
45 223.28 224.87 227.32 235.96 244.59 247.04 248.63
46 225.59 227.19 229.66 238.35 247.05 249.51 251.11
47 227.75 229.36 231.85 240.6 249.35 251.83 253.45
48 229.77 231.39 233.89 242.7 251.51 254.01 255.63
49 231.63 233.26 235.78 244.64 253.51 256.02 257.65
50 233.34 234.98 237.51 246.43 255.35 257.88 259.52
51 234.89 236.54 239.09 248.06 257.03 259.57 261.22
52 236.28 237.94 240.5 249.52 258.54 261.1 262.76
53 237.51 239.18 241.75 250.82 259.89 262.46 264.13
54 238.57 240.25 242.83 251.95 261.06 263.65 265.33
55 239.46 241.14 243.74 252.9 262.06 264.66 266.35
