gest_wks P03 P05 P10 P50 P90 P95 P97
18 184 187 193 216 244 253 260
19 224 228 235 263 297 308 316
20 271 276 284 318 359 372 381
21 324 330 341 381 430 446 457
22 385 392 405 454 513 532 544
23 453 463 478 537 607 629 645
24 530 541 559 630 714 740 758
25 616 629 650 734 834 865 887
26 710 726 751 851 968 1005 1030
27 813 832 862 979 1116 1160 1189
28 925 947 982 1119 1279 1330 1364
29 1046 1072 1113 1272 1457 1515 1554
30 1175 1205 1252 1435 1649 1716 1760
31 1312 1346 1400 1610 1854 1930 1981
32 1455 1494 1556 1795 2072 2158 2216
33 1604 1648 1718 1988 2300 2397 2462
34 1757 1807 1885 2189 2538 2646 2719
35 1913 1968 2056 2394 2782 2902 2983
36 2070 2131 2228 2602 3031 3163 3251
37 2226 2293 2400 2811 3280 3425 3522
38 2379 2453 2569 3017 3527 3684 3789
39 2527 2607 2733 3217 3768 3937 4051
40 2667 2753 2888 3409 3999 4180 4302
41 2798 2889 3034 3588 4217 4409 4538
