gest_wks P03 P05 P10 P50 P90 P95 P97
24+0 0.83 0.86 0.91 1.10 1.31 1.38 1.42
25+0 0.80 0.84 0.89 1.08 1.30 1.37 1.41
26+0 0.78 0.81 0.87 1.07 1.29 1.35 1.40
27+0 0.76 0.79 0.85 1.05 1.27 1.34 1.38
28+0 0.74 0.78 0.83 1.03 1.25 1.32 1.36
29+0 0.73 0.76 0.81 1.01 1.23 1.30 1.34
30+0 0.71 0.75 0.80 1.00 1.21 1.28 1.32
31+0 0.70 0.73 0.78 0.98 1.19 1.26 1.30
32+0 0.68 0.72 0.77 0.96 1.17 1.24 1.28
33+0 0.67 0.70 0.75 0.94 1.15 1.21 1.25
34+0 0.66 0.69 0.74 0.92 1.13 1.19 1.23
35+0 0.64 0.67 0.72 0.90 1.10 1.16 1.20
36+0 0.63 0.66 0.70 0.88 1.08 1.14 1.18
37+0 0.61 0.64 0.69 0.86 1.05 1.11 1.15
38+0 0.59 0.62 0.67 0.84 1.03 1.08 1.12
39+0 0.58 0.60 0.65 0.82 1.00 1.06 1.09
40+0 0.56 0.59 0.63 0.79 0.97 1.03 1.06
