gest_wks n P03 P05 P50 P95 P97
15+0 18 1.29 1.39 2.14 2.88 2.99
16+0 18 1.55 1.69 2.66 3.63 3.77
17+0 18 1.79 1.96 3.12 4.28 4.45
18+0 19 2.02 2.21 3.53 4.85 5.04
19+0 19 2.24 2.45 3.90 5.35 5.56
20+0 21 2.44 2.67 4.24 5.80 6.03
21+0 16 2.64 2.87 4.54 6.21 6.44
22+0 18 2.82 3.07 4.82 6.57 6.82
23+0 21 2.99 3.25 5.08 6.90 7.17
24+0 18 3.16 3.43 5.32 7.21 7.48
25+0 20 3.32 3.59 5.54 7.49 7.77
26+0 19 3.47 3.75 5.75 7.75 8.04
27+0 19 3.61 3.90 5.95 7.99 8.29
28+0 19 3.75 4.05 6.13 8.22 8.52
29+0 22 3.89 4.19 6.31 8.43 8.74
30+0 21 4.02 4.32 6.48 8.63 8.94
31+0 20 4.14 4.46 6.64 8.83 9.14
32+0 17 4.27 4.58 6.80 9.01 9.32
33+0 22 4.39 4.71 6.94 9.18 9.50
34+0 21 4.51 4.83 7.09 9.35 9.67
35+0 19 4.62 4.95 7.23 9.51 9.84
36+0 15 4.74 5.07 7.37 9.67 9.99
