gest_wks n P03 P05 P50 P95 P97
15+0 18 4.71 4.99 6.94 8.88 9.16
16+0 19 4.49 4.77 6.78 8.78 9.07
17+0 18 4.28 4.58 6.64 8.70 9.00
18+0 19 4.10 4.40 6.52 8.64 8.94
19+0 19 3.92 4.23 6.41 8.58 8.89
20+0 22 3.76 4.08 6.31 8.54 8.86
21+0 16 3.61 3.94 6.22 8.51 8.84
22+0 18 3.46 3.80 6.14 8.49 8.82
23+0 21 3.33 3.67 6.07 8.47 8.81
24+0 18 3.20 3.55 6.00 8.46 8.81
25+0 20 3.07 3.43 5.94 8.46 8.82
26+0 19 2.95 3.32 5.89 8.46 8.83
27+0 19 2.84 3.22 5.84 8.46 8.84
28+0 19 2.73 3.11 5.79 8.48 8.86
29+0 22 2.62 3.01 5.75 8.49 8.88
30+0 21 2.52 2.92 5.71 8.51 8.91
31+0 20 2.42 2.83 5.68 8.53 8.94
32+0 17 2.32 2.74 5.65 8.55 8.97
33+0 22 2.23 2.65 5.62 8.58 9.00
34+0 22 2.14 2.57 5.59 8.61 9.04
35+0 19 2.05 2.49 5.56 8.64 9.08
36+0 14 1.96 2.41 5.54 8.67 9.12
