gest_wks P03 P05 P10 P50 P90 P95 P97
24+0 2.38 2.46 2.61 3.23 4.12 4.46 4.72
25+0 2.30 2.39 2.53 3.15 4.03 4.38 4.63
26+0 2.23 2.32 2.46 3.07 3.95 4.29 4.54
27+0 2.18 2.26 2.40 3.00 3.86 4.19 4.44
28+0 2.13 2.22 2.35 2.93 3.77 4.09 4.33
29+0 2.09 2.17 2.31 2.87 3.68 3.99 4.22
30+0 2.06 2.14 2.26 2.81 3.58 3.89 4.11
31+0 2.03 2.10 2.22 2.74 3.49 3.78 4.00
32+0 2.00 2.07 2.19 2.68 3.40 3.67 3.88
33+0 1.97 2.04 2.15 2.62 3.30 3.57 3.76
34+0 1.94 2.01 2.11 2.56 3.21 3.46 3.65
35+0 1.91 1.97 2.08 2.50 3.12 3.35 3.53
36+0 1.88 1.94 2.04 2.44 3.02 3.24 3.41
37+0 1.85 1.91 2.00 2.38 2.93 3.14 3.30
38+0 1.82 1.87 1.96 2.32 2.83 3.03 3.18
39+0 1.79 1.84 1.92 2.25 2.73 2.92 3.06
40+0 1.75 1.80 1.87 2.19 2.64 2.81 2.94
