gest_wks n P03 P05 P50 P95 P97
15+0 18 0.40 0.57 1.77 2.98 3.15
16+0 15 0.91 1.13 2.65 4.17 4.38
17+0 18 1.46 1.72 3.49 5.27 5.52
18+0 18 2.03 2.31 4.31 6.30 6.59
19+0 17 2.60 2.91 5.09 7.27 7.58
20+0 20 3.18 3.51 5.85 8.18 8.51
21+0 15 3.75 4.10 6.57 9.04 9.40
22+0 18 4.32 4.69 7.27 9.86 10.23
23+0 20 4.87 5.26 7.95 10.64 11.02
24+0 17 5.42 5.82 8.60 11.38 11.78
25+0 20 5.96 6.37 9.23 12.09 12.50
26+0 18 6.49 6.91 9.84 12.77 13.19
27+0 16 7.01 7.44 10.43 13.42 13.85
28+0 19 7.52 7.95 11.00 14.05 14.48
29+0 22 8.01 8.45 11.55 14.65 15.09
30+0 20 8.49 8.94 12.09 15.23 15.68
31+0 20 8.97 9.42 12.61 15.79 16.25
32+0 17 9.43 9.89 13.11 16.33 16.79
33+0 22 9.88 10.34 13.60 16.86 17.32
34+0 22 10.32 10.79 14.07 17.36 17.83
35+0 18 10.75 11.22 14.54 17.85 18.33
36+0 14 11.17 11.64 14.99 18.33 18.80
