gest_wks P03 P05 P10 P50 P90 P95 P97
16 13.2 13.5 14.0 15.8 17.6 18.1 18.5
17 14.1 14.4 14.9 16.8 18.6 19.1 19.5
18 15.0 15.4 15.9 17.8 19.6 20.2 20.5
19 16.0 16.3 16.9 18.8 20.7 21.2 21.5
20 16.9 17.3 17.8 19.8 21.7 22.2 22.6
21 17.9 18.2 18.8 20.8 22.7 23.3 23.6
22 18.8 19.2 19.8 21.8 23.8 24.3 24.7
23 19.8 20.1 20.7 22.8 24.8 25.4 25.7
24 20.7 21.1 21.7 23.8 25.8 26.4 26.8
25 21.7 22.1 22.7 24.7 26.8 27.4 27.8
26 22.6 23.0 23.6 25.7 27.9 28.5 28.9
27 23.5 23.9 24.6 26.7 28.9 29.5 29.9
28 24.5 24.9 25.5 27.7 29.9 30.5 30.9
29 25.4 25.8 26.4 28.6 30.9 31.5 31.9
30 26.3 26.7 27.3 29.6 31.8 32.5 32.9
31 27.1 27.6 28.2 30.5 32.8 33.5 33.9
32 28.0 28.4 29.1 31.4 33.8 34.4 34.8
33 28.9 29.3 30.0 32.3 34.7 35.4 35.8
34 29.7 30.1 30.8 33.2 35.6 36.3 36.7
35 30.5 30.9 31.6 34.0 36.5 37.2 37.6
36 31.3 31.7 32.4 34.9 37.3 38.0 38.5
37 32.0 32.5 33.2 35.7 38.2 38.9 39.3
38 32.8 33.2 33.9 36.5 39.0 39.7 40.2
39 33.5 33.9 34.7 37.2 39.8 40.5 41.0
40 34.1 34.6 35.4 38.0 40.5 41.3 41.8
41 34.8 35.3 36.0 38.7 41.3 42.0 42.5
42 35.4 35.9 36.9 39.3 42.0 42.7 43.2
