gest_wks SD3neg SD2neg SD1neg SD0 SD1 SD2 SD3
16 11.6 13.0 14.4 15.8 17.2 18.6 20.0
17 12.5 13.9 15.4 16.8 18.2 19.6 21.1
18 13.4 14.9 16.3 17.8 19.2 20.7 22.1
19 14.3 15.8 17.3 18.8 20.2 21.7 23.2
20 15.2 16.7 18.2 19.8 21.3 22.8 24.3
21 16.1 17.7 19.2 20.8 22.3 23.8 25.4
22 17.1 18.6 20.2 21.8 23.3 24.9 26.4
23 18.0 19.6 21.2 22.8 24.3 25.9 27.5
24 18.9 20.5 22.1 23.8 25.4 27.0 28.6
25 19.8 21.5 23.1 24.7 26.4 28.0 29.7
26 20.7 22.4 24.1 25.7 27.4 29.1 30.7
27 21.6 23.3 25.0 26.7 28.4 30.1 31.8
28 22.5 24.3 26.0 27.7 29.4 31.1 32.8
29 23.4 25.2 26.9 28.6 30.4 32.1 33.9
30 24.3 26.1 27.8 29.6 31.4 33.1 34.9
31 25.1 26.9 28.7 30.5 32.3 34.1 35.9
32 26.0 27.8 29.6 31.4 33.2 35.1 36.9
33 26.8 28.6 30.5 32.3 34.2 36.0 37.8
34 27.6 29.5 31.3 33.2 35.1 36.9 38.8
35 28.4 30.3 32.2 34.0 35.9 37.8 39.7
36 29.1 31.0 33.0 34.9 36.8 38.7 40.6
37 29.8 31.8 33.7 35.7 37.6 39.6 41.5
38 30.5 32.5 34.5 36.5 38.4 40.4 42.4
39 31.2 33.2 35.2 37.2 39.2 41.2 43.2
40 31.9 33.9 35.9 38.0 40.0 42.0 44.0
41 32.5 34.6 36.6 38.7 40.7 42.8 44.8
42 33.1 35.2 37.3 39.3 41.4 43.5 45.6
