gest_wks P03 P05 P10 P50 P90 P95 P97
14 11.85 12.00 12.22 13.00 13.77 13.99 14.14
15 12.98 13.13 13.36 14.18 15.00 15.23 15.39
16 14.11 14.27 14.52 15.38 16.25 16.49 16.66
17 15.26 15.43 15.69 16.61 17.53 17.78 17.96
18 16.42 16.61 16.88 17.86 18.84 19.11 19.30
19 17.61 17.81 18.10 19.15 20.19 20.48 20.68
20 18.83 19.04 19.35 20.47 21.58 21.90 22.11
21 20.07 20.30 20.64 21.83 23.03 23.37 23.59
22 21.36 21.60 21.96 23.24 24.53 24.89 25.13
23 22.67 22.93 23.32 24.71 26.09 26.48 26.74
24 24.03 24.31 24.73 26.22 27.71 28.13 28.41
25 25.44 25.74 26.19 27.80 29.40 29.85 30.15
26 26.89 27.22 27.70 29.43 31.16 31.65 31.97
27 28.40 28.75 29.27 31.14 33.00 33.52 33.87
28 29.96 30.33 30.90 32.91 34.92 35.48 35.86
29 31.57 31.98 32.59 34.75 36.92 37.53 37.94
30 33.25 33.69 34.34 36.68 39.01 39.67 40.10
31 34.99 35.46 36.17 38.68 41.19 41.90 42.37
32 36.80 37.31 38.07 40.77 43.47 44.23 44.74
33 38.68 39.22 40.04 42.94 45.85 46.67 47.21
34 40.63 41.21 42.09 45.21 48.33 49.21 49.80
35 42.65 43.28 44.22 47.57 50.92 51.86 52.49
36 44.75 45.43 46.44 50.03 53.62 54.63 55.31
37 46.94 47.66 48.74 52.59 56.44 57.52 58.24
38 49.20 49.98 51.14 55.25 59.37 60.53 61.30
39 51.56 52.38 53.62 58.03 62.43 63.67 64.49
40 54.00 54.88 56.21 60.91 65.61 66.94 67.82
