24+0 19.2 19.5 20.1 22.1 24.1 24.7 25.0
24+1 19.3 19.7 20.2 22.2 24.2 24.8 25.2
24+2 19.4 19.8 20.3 22.3 24.3 24.9 25.3
24+3 19.5 19.9 20.5 22.5 24.5 25.0 25.4
24+4 19.7 20.0 20.6 22.6 24.6 25.2 25.5
24+5 19.8 20.2 20.7 22.7 24.7 25.3 25.7
24+6 19.9 20.3 20.9 22.9 24.8 25.4 25.8
25+0 20.0 20.4 21.0 23.0 25.0 25.5 25.9
25+1 20.2 20.5 21.1 23.1 25.1 25.7 26.0
25+2 20.3 20.7 21.2 23.2 25.2 25.8 26.2
25+3 20.4 20.8 21.4 23.4 25.4 25.9 26.3
25+4 20.6 20.9 21.5 23.5 25.5 26.1 26.4
25+5 20.7 21.0 21.6 23.6 25.6 26.2 26.5
25+6 20.8 21.2 21.7 23.7 25.7 26.3 26.7
26+0 20.9 21.3 21.9 23.9 25.9 26.4 26.8
26+1 21.1 21.4 22.0 24.0 26.0 26.6 26.9
26+2 21.2 21.6 22.1 24.1 26.1 26.7 27.1
26+3 21.3 21.7 22.2 24.2 26.2 26.8 27.2
26+4 21.4 21.8 22.4 24.4 26.4 26.9 27.3
26+5 21.6 21.9 22.5 24.5 26.5 27.1 27.4
26+6 21.7 22.1 22.6 24.6 26.6 27.2 27.6
27+0 21.8 22.2 22.8 24.8 26.8 27.3 27.7
27+1 21.9 22.3 22.9 24.9 26.9 27.4 27.8
27+2 22.1 22.4 23.0 25.0 27.0 27.6 27.9
27+3 22.2 22.6 23.1 25.1 27.1 27.7 28.1
27+4 22.3 22.7 23.3 25.3 27.3 27.8 28.2
27+5 22.5 22.8 23.4 25.4 27.4 28.0 28.3
27+6 22.6 22.9 23.5 25.5 27.5 28.1 28.4
28+0 22.7 23.1 23.6 25.6 27.6 28.2 28.6
28+1 22.8 23.2 23.8 25.8 27.8 28.3 28.7
28+2 23.0 23.3 23.9 25.9 27.9 28.5 28.8
28+3 23.1 23.5 24.0 26.0 28.0 28.6 29.0
28+4 23.2 23.6 24.1 26.1 28.1 28.7 29.1
28+5 23.3 23.7 24.3 26.3 28.3 28.8 29.2
28+6 23.5 23.8 24.4 26.4 28.4 29.0 29.3
29+0 23.6 24.0 24.5 26.5 28.5 29.1 29.5
29+1 23.7 24.1 24.7 26.7 28.7 29.2 29.6
29+2 23.8 24.2 24.8 26.8 28.8 29.3 29.7
29+3 24.0 24.3 24.9 26.9 28.9 29.5 29.8
29+4 24.1 24.5 25.0 27.0 29.0 29.6 30.0
29+5 24.2 24.6 25.2 27.2 29.2 29.7 30.1
29+6 24.4 24.7 25.3 27.3 29.3 29.9 30.2
30+0 24.5 24.8 25.4 27.4 29.4 30.0 30.3
30+1 24.6 25.0 25.5 27.5 29.5 30.1 30.5
30+2 24.7 25.1 25.7 27.7 29.7 30.2 30.6
30+3 24.9 25.2 25.8 27.8 29.8 30.4 30.7
30+4 25.0 25.4 25.9 27.9 29.9 30.5 30.9
30+5 25.1 25.5 26.1 28.0 30.0 30.6 31.0
30+6 25.2 25.6 26.2 28.2 30.2 30.7 31.1
31+0 25.4 25.7 26.3 28.3 30.3 30.9 31.2
31+1 25.5 25.9 26.4 28.4 30.4 31.0 31.4
31+2 25.6 26.0 26.6 28.6 30.6 31.1 31.5
31+3 25.7 26.1 26.7 28.7 30.7 31.2 31.6
31+4 25.9 26.2 26.8 28.8 30.8 31.4 31.7
31+5 26.0 26.4 26.9 28.9 30.9 31.5 31.9
31+6 26.1 26.5 27.1 29.1 31.1 31.6 32.0
32+0 26.3 26.6 27.2 29.2 31.2 31.8 32.1
32+1 26.4 26.8 27.3 29.3 31.3 31.9 32.3
32+2 26.5 26.9 27.4 29.4 31.4 32.0 32.4
32+3 26.6 27.0 27.6 29.6 31.6 32.1 32.5
