24+0 17.4 19.0 20.5 22.1 23.6 25.2 26.8
24+1 17.5 19.1 20.7 22.2 23.8 25.3 26.9
24+2 17.7 19.2 20.8 22.3 23.9 25.5 27.0
24+3 17.8 19.4 20.9 22.5 24.0 25.6 27.2
24+4 17.9 19.5 21.0 22.6 24.2 25.7 27.3
24+5 18.0 19.6 21.2 22.7 24.3 25.8 27.4
24+6 18.2 19.7 21.3 22.9 24.4 26.0 27.5
25+0 18.3 19.9 21.4 23.0 24.5 26.1 27.7
25+1 18.4 20.0 21.5 23.1 24.7 26.2 27.8
25+2 18.6 20.1 21.7 23.2 24.8 26.4 27.9
25+3 18.7 20.2 21.8 23.4 24.9 26.5 28.0
25+4 18.8 20.4 21.9 23.5 25.0 26.6 28.2
25+5 18.9 20.5 22.1 23.6 25.2 26.7 28.3
25+6 19.1 20.6 22.2 23.7 25.3 26.9 28.4
26+0 19.2 20.7 22.3 23.9 25.4 27.0 28.5
26+1 19.3 20.9 22.4 24.0 25.6 27.1 28.7
26+2 19.4 21.0 22.6 24.1 25.7 27.2 28.8
26+3 19.6 21.1 22.7 24.2 25.8 27.4 28.9
26+4 19.7 21.3 22.8 24.4 25.9 27.5 29.1
26+5 19.8 21.4 22.9 24.5 26.1 27.6 29.2
26+6 19.9 21.5 23.1 24.6 26.2 27.7 29.3
27+0 20.1 21.6 23.2 24.8 26.3 27.9 29.4
27+1 20.2 21.8 23.3 24.9 26.4 28.0 29.6
27+2 20.3 21.9 23.4 25.0 26.6 28.1 29.7
27+3 20.5 22.0 23.6 25.1 26.7 28.3 29.8
27+4 20.6 22.1 23.7 25.3 26.8 28.4 29.9
27+5 20.7 22.3 23.8 25.4 26.9 28.5 30.1
27+6 20.8 22.4 24.0 25.5 27.1 28.6 30.2
28+0 21.0 22.5 24.1 25.6 27.2 28.8 30.3
28+1 21.1 22.6 24.2 25.8 27.3 28.9 30.4
28+2 21.2 22.8 24.3 25.9 27.5 29.0 30.6
28+3 21.3 22.9 24.5 26.0 27.6 29.1 30.7
28+4 21.5 23.0 24.6 26.1 27.7 29.3 30.8
28+5 21.6 23.2 24.7 26.3 27.8 29.4 31.0
28+6 21.7 23.3 24.8 26.4 28.0 29.5 31.1
29+0 21.8 23.4 25.0 26.5 28.1 29.6 31.2
29+1 22.0 23.5 25.1 26.7 28.2 29.8 31.3
29+2 22.1 23.7 25.2 26.8 28.3 29.9 31.5
29+3 22.2 23.8 25.3 26.9 28.5 30.0 31.6
29+4 22.4 23.9 25.5 27.0 28.6 30.2 31.7
29+5 22.5 24.0 25.6 27.2 28.7 30.3 31.8
29+6 22.6 24.2 25.7 27.3 28.8 30.4 32.0
30+0 22.7 24.3 25.9 27.4 29.0 30.5 32.1
30+1 22.9 24.4 26.0 27.5 29.1 30.7 32.2
30+2 23.0 24.5 26.1 27.7 29.2 30.8 32.3
30+3 23.1 24.7 26.2 27.8 29.4 30.9 32.5
30+4 23.2 24.8 26.4 27.9 29.5 31.0 32.6
30+5 23.4 24.9 26.5 28.0 29.6 31.2 32.7
30+6 23.5 25.1 26.6 28.2 29.7 31.3 32.9
31+0 23.6 25.2 26.7 28.3 29.9 31.4 33.0
31+1 23.8 25.3 26.9 28.4 30.0 31.6 33.1
31+2 23.9 25.4 27.0 28.6 30.1 31.7 33.2
31+3 24.0 25.6 27.1 28.7 30.2 31.8 33.4
31+4 24.1 25.7 27.3 28.8 30.4 31.9 33.5
31+5 24.3 25.8 27.4 28.9 30.5 32.1 33.6
31+6 24.4 25.9 27.5 29.1 30.6 32.2 33.7
32+0 24.5 26.1 27.6 29.2 30.8 32.3 33.9
32+1 24.6 26.2 27.8 29.3 30.9 32.4 34.0
32+2 24.8 26.3 27.9 29.4 31.0 32.6 34.1
32+3 24.9 26.5 28.0 29.6 31.1 32.7 34.3
32+4 25.0 26.6 28.1 29.7 31.3 32.8 34.4
32+5 25.1 26.7 28.3 29.8 31.4 32.9 34.5
32+6 25.3 26.8 28.4 30.0 31.5 33.1 34.6
33+0 26.2 27.8 29.1 30.5 31.8 33.3 35.1
33+1 26.3 27.9 29.2 30.6 31.9 33.4 35.1
33+2 26.4 28.0 29.3 30.6 32.0 33.5 35.2
33+3 26.5 28.1 29.4 30.7 32.1 33.6 35.3
33+4 26.6 28.2 29.5 30.8 32.2 33.6 35.3
33+5 26.7 28.3 29.6 30.9 32.2 33.7 35.4
33+6 26.8 28.4 29.7 31.0 32.3 33.8 35.5
34+0 26.9 28.5 29.8 31.1 32.4 33.8 35.5
34+1 27.0 28.6 29.9 31.2 32.5 33.9 35.6
34+2 27.1 28.7 30.0 31.2 32.6 34.0 35.6
34+3 27.2 28.8 30.1 31.3 32.6 34.0 35.7
34+4 27.3 28.9 30.2 31.4 32.7 34.1 35.8
34+5 27.4 28.9 30.3 31.5 32.8 34.2 35.8
34+6 27.5 29.0 30.3 31.6 32.8 34.2 35.9
35+0 27.6 29.1 30.4 31.6 32.9 34.3 35.9
35+1 27.7 29.2 30.5 31.7 33.0 34.4 36.0
35+2 27.8 29.3 30.6 31.8 33.0 34.4 36.0
35+3 27.9 29.4 30.7 31.9 33.1 34.5 36.1
35+4 28.0 29.5 30.7 31.9 33.2 34.5 36.1
35+5 28.1 29.6 30.8 32.0 33.2 34.6 36.2
35+6 28.2 29.6 30.9 32.1 33.3 34.7 36.2
36+0 28.3 29.7 31.0 32.1 33.4 34.7 36.3
36+1 28.4 29.8 31.0 32.2 33.4 34.8 36.3
36+2 28.4 29.9 31.1 32.3 33.5 34.8 36.4
36+3 28.5 29.9 31.2 32.4 33.6 34.9 36.4
