24+0 19.4 19.8 20.3 22.3 24.3 24.9 25.3
24+1 19.5 19.9 20.5 22.5 24.5 25.0 25.4
24+2 19.7 20.0 20.6 22.6 24.6 25.2 25.5
24+3 19.8 20.2 20.7 22.7 24.7 25.3 25.7
24+4 19.9 20.3 20.8 22.8 24.8 25.4 25.8
24+5 20.0 20.4 21.0 23.0 25.0 25.5 25.9
24+6 20.2 20.5 21.1 23.1 25.1 25.7 26.0
25+0 20.3 20.7 21.2 23.2 25.2 25.8 26.2
25+1 20.4 20.8 21.4 23.4 25.4 25.9 26.3
25+2 20.5 20.9 21.5 23.5 25.5 26.0 26.4
25+3 20.7 21.0 21.6 23.6 25.6 26.2 26.5
25+4 20.8 21.2 21.7 23.7 25.7 26.3 26.7
25+5 20.9 21.3 21.9 23.9 25.9 26.4 26.8
25+6 21.1 21.4 22.0 24.0 26.0 26.6 26.9
26+0 21.2 21.6 22.1 24.1 26.1 26.7 27.1
26+1 21.3 21.7 22.2 24.2 26.2 26.8 27.2
26+2 21.4 21.8 22.4 24.4 26.4 26.9 27.3
26+3 21.6 21.9 22.5 24.5 26.5 27.1 27.4
26+4 21.7 22.1 22.6 24.6 26.6 27.2 27.6
26+5 21.8 22.2 22.8 24.8 26.7 27.3 27.7
26+6 21.9 22.3 22.9 24.9 26.9 27.4 27.8
27+0 22.1 22.4 23.0 25.0 27.0 27.6 27.9
27+1 22.2 22.6 23.1 25.1 27.1 27.7 28.1
27+2 22.3 22.7 23.3 25.3 27.3 27.8 28.2
27+3 22.5 22.8 23.4 25.4 27.4 28.0 28.3
27+4 22.6 22.9 23.5 25.5 27.5 28.1 28.4
27+5 22.7 23.1 23.6 25.6 27.6 28.2 28.6
27+6 22.8 23.2 23.8 25.8 27.8 28.3 28.7
28+0 23.0 23.3 23.9 25.9 27.9 28.5 28.8
28+1 23.1 23.5 24.0 26.0 28.0 28.6 29.0
28+2 23.2 23.6 24.1 26.1 28.1 28.7 29.1
28+3 23.3 23.7 24.3 26.3 28.3 28.8 29.2
28+4 23.5 23.8 24.4 26.4 28.4 29.0 29.3
28+5 23.6 24.0 24.5 26.5 28.5 29.1 29.5
28+6 23.7 24.1 24.7 26.7 28.7 29.2 29.6
29+0 23.8 24.2 24.8 26.8 28.8 29.3 29.7
29+1 24.0 24.3 24.9 26.9 28.9 29.5 29.8
29+2 24.1 24.5 25.0 27.0 29.0 29.6 30.0
29+3 24.2 24.6 25.2 27.2 29.2 29.7 30.1
29+4 24.4 24.7 25.3 27.3 29.3 29.9 30.2
29+5 24.5 24.8 25.4 27.4 29.4 30.0 30.3
29+6 24.6 25.0 25.5 27.5 29.5 30.1 30.5
30+0 24.7 25.1 25.7 27.7 29.7 30.2 30.6
30+1 24.9 25.2 25.8 27.8 29.8 30.4 30.7
30+2 25.0 25.4 25.9 27.9 29.9 30.5 30.9
30+3 25.1 25.5 26.0 28.0 30.0 30.6 31.0
30+4 25.2 25.6 26.2 28.2 30.2 30.7 31.1
30+5 25.4 25.7 26.3 28.3 30.3 30.9 31.2
30+6 25.5 25.9 26.4 28.4 30.4 31.0 31.4
31+0 25.6 26.0 26.6 28.6 30.6 31.1 31.5
31+1 25.7 26.1 26.7 28.7 30.7 31.2 31.6
31+2 25.9 26.2 26.8 28.8 30.8 31.4 31.7
31+3 26.0 26.4 26.9 28.9 30.9 31.5 31.9
31+4 26.1 26.5 27.1 29.1 31.1 31.6 32.0
31+5 26.3 26.6 27.2 29.2 31.2 31.8 32.1
31+6 26.4 26.7 27.3 29.3 31.3 31.9 32.2
32+0 26.5 26.9 27.4 29.4 31.4 32.0 32.4
32+1 26.6 27.0 27.6 29.6 31.6 32.1 32.5
32+2 26.8 27.1 27.7 29.7 31.7 32.3 32.6
32+3 26.9 27.3 27.8 29.8 31.8 32.4 32.8
32+4 27.0 27.4 28.0 29.9 31.9 32.5 32.9
32+5 27.1 27.5 28.1 30.1 32.1 32.6 33.0
32+6 27.3 27.6 28.2 30.2 32.2 32.8 33.1
33+0 28.2 28.6 29.1 30.9 32.7 33.3 33.6
33+1 28.4 28.7 29.2 31.0 32.8 33.3 33.7
33+2 28.5 28.8 29.3 31.1 32.9 33.4 33.8
33+3 28.5 28.9 29.4 31.1 32.9 33.5 33.8
33+4 28.6 29.0 29.5 31.2 33.0 33.6 33.9
33+5 28.7 29.1 29.6 31.3 33.1 33.6 34.0
33+6 28.8 29.2 29.7 31.4 33.2 33.7 34.1
34+0 28.9 29.3 29.8 31.5 33.2 33.8 34.1
34+1 29.0 29.4 29.9 31.6 33.3 33.8 34.2
34+2 29.1 29.4 29.9 31.6 33.4 33.9 34.3
34+3 29.2 29.5 30.0 31.7 33.5 34.0 34.3
34+4 29.3 29.6 30.1 31.8 33.5 34.0 34.4
34+5 29.4 29.7 30.2 31.9 33.6 34.1 34.5
34+6 29.5 29.8 30.3 31.9 33.7 34.2 34.5
35+0 29.6 29.9 30.4 32.0 33.7 34.2 34.6
35+1 29.7 30.0 30.5 32.1 33.8 34.3 34.6
35+2 29.7 30.1 30.5 32.2 33.9 34.4 34.7
35+3 29.8 30.1 30.6 32.2 33.9 34.4 34.8
35+4 29.9 30.2 30.7 32.3 34.0 34.5 34.8
35+5 30.0 30.3 30.8 32.4 34.1 34.6 34.9
35+6 30.1 30.4 30.9 32.5 34.1 34.6 35.0
36+0 30.2 30.5 30.9 32.5 34.2 34.7 35.0
36+1 30.2 30.5 31.0 32.6 34.3 34.8 35.1
36+2 30.3 30.6 31.1 32.7 34.3 34.8 35.1
36+3 30.4 30.7 31.2 32.8 34.4 34.9 35.2
36+4 30.5 30.8 31.2 32.8 34.4 34.9 35.3
36+5 30.5 30.9 31.3 32.9 34.5 35.0 35.3
36+6 30.6 30.9 31.4 33.0 34.6 35.1 35.4
37+0 30.7 31.0 31.5 33.0 34.6 35.1 35.4
37+1 30.8 31.1 31.5 33.1 34.7 35.2 35.5
37+2 30.8 31.2 31.6 33.2 34.8 35.2 35.6
37+3 30.9 31.2 31.7 33.2 34.8 35.3 35.6
37+4 31.0 31.3 31.7 33.3 34.9 35.3 35.7
37+5 31.1 31.4 31.8 33.3 34.9 35.4 35.7
37+6 31.1 31.4 31.9 33.4 35.0 35.5 35.8
38+0 31.2 31.5 32.0 33.5 35.0 35.5 35.8
38+1 31.3 31.6 32.0 33.5 35.1 35.6 35.9
38+2 31.4 31.6 32.1 33.6 35.2 35.6 35.9
38+3 31.4 31.7 32.2 33.7 35.2 35.7 36.0
38+4 31.5 31.8 32.2 33.7 35.3 35.7 36.0
38+5 31.6 31.9 32.3 33.8 35.3 35.8 36.1
38+6 31.6 31.9 32.4 33.8 35.4 35.8 36.2
39+0 31.7 32.0 32.4 33.9 35.4 35.9 36.2
39+1 31.8 32.1 32.5 34.0 35.5 36.0 36.3
39+2 31.8 32.1 32.6 34.0 35.5 36.0 36.3
39+3 31.9 32.2 32.6 34.1 35.6 36.1 36.4
39+4 32.0 32.2 32.7 34.1 35.7 36.1 36.4
39+5 32.0 32.3 32.7 34.2 35.7 36.2 36.5
39+6 32.1 32.4 32.8 34.3 35.8 36.2 36.5
40+0 32.2 32.4 32.9 34.3 35.8 36.3 36.6
40+1 32.2 32.5 32.9 34.4 35.9 36.3 36.6
40+2 32.3 32.6 33.0 34.4 35.9 36.4 36.7
40+3 32.3 32.6 33.0 34.5 36.0 36.4 36.7
40+4 32.4 32.7 33.1 34.5 36.0 36.5 36.8
40+5 32.5 32.7 33.2 34.6 36.1 36.5 36.8
40+6 32.5 32.8 33.2 34.7 36.1 36.6 36.9
41+0 32.6 32.9 33.3 34.7 36.2 36.6 36.9
41+1 32.6 32.9 33.3 34.8 36.2 36.7 37.0
41+2 32.7 33.0 33.4 34.8 36.3 36.7 37.0
41+3 32.8 33.0 33.5 34.9 36.3 36.8 37.1
41+4 32.8 33.1 33.5 34.9 36.4 36.8 37.1
41+5 32.9 33.2 33.6 35.0 36.4 36.9 37.2
41+6 32.9 33.2 33.6 35.0 36.5 36.9 37.2
42+0 33.0 33.3 33.7 35.1 36.5 37.0 37.2
42+1 33.1 33.3 33.7 35.1 36.6 37.0 37.3
42+2 33.1 33.4 33.8 35.2 36.6 37.0 37.3
42+3 33.2 33.4 33.8 35.2 36.7 37.1 37.4
42+4 33.2 33.5 33.9 35.3 36.7 37.1 37.4
42+5 33.3 33.6 34.0 35.3 36.8 37.2 37.5
42+6 33.3 33.6 34.0 35.4 36.8 37.2 37.5
