24+0 17.7 19.2 20.8 22.3 23.9 25.5 27.0
24+1 17.8 19.3 20.9 22.5 24.0 25.6 27.1
24+2 17.9 19.5 21.0 22.6 24.2 25.7 27.3
24+3 18.0 19.6 21.2 22.7 24.3 25.8 27.4
24+4 18.2 19.7 21.3 22.8 24.4 26.0 27.5
24+5 18.3 19.9 21.4 23.0 24.5 26.1 27.7
24+6 18.4 20.0 21.5 23.1 24.7 26.2 27.8
25+0 18.5 20.1 21.7 23.2 24.8 26.3 27.9
25+1 18.7 20.2 21.8 23.4 24.9 26.5 28.0
25+2 18.8 20.4 21.9 23.5 25.0 26.6 28.2
25+3 18.9 20.5 22.0 23.6 25.2 26.7 28.3
25+4 19.1 20.6 22.2 23.7 25.3 26.9 28.4
25+5 19.2 20.7 22.3 23.9 25.4 27.0 28.5
25+6 19.3 20.9 22.4 24.0 25.5 27.1 28.7
26+0 19.4 21.0 22.6 24.1 25.7 27.2 28.8
26+1 19.6 21.1 22.7 24.2 25.8 27.4 28.9
26+2 19.7 21.3 22.8 24.4 25.9 27.5 29.1
26+3 19.8 21.4 22.9 24.5 26.1 27.6 29.2
26+4 19.9 21.5 23.1 24.6 26.2 27.7 29.3
26+5 20.1 21.6 23.2 24.8 26.3 27.9 29.4
26+6 20.2 21.8 23.3 24.9 26.4 28.0 29.6
27+0 20.3 21.9 23.4 25.0 26.6 28.1 29.7
27+1 20.5 22.0 23.6 25.1 26.7 28.3 29.8
27+2 20.6 22.1 23.7 25.3 26.8 28.4 29.9
27+3 20.7 22.3 23.8 25.4 26.9 28.5 30.1
27+4 20.8 22.4 24.0 25.5 27.1 28.6 30.2
27+5 21.0 22.5 24.1 25.6 27.2 28.8 30.3
27+6 21.1 22.6 24.2 25.8 27.3 28.9 30.4
28+0 21.2 22.8 24.3 25.9 27.5 29.0 30.6
28+1 21.3 22.9 24.5 26.0 27.6 29.1 30.7
28+2 21.5 23.0 24.6 26.1 27.7 29.3 30.8
28+3 21.6 23.2 24.7 26.3 27.8 29.4 31.0
28+4 21.7 23.3 24.8 26.4 28.0 29.5 31.1
28+5 21.8 23.4 25.0 26.5 28.1 29.6 31.2
28+6 22.0 23.5 25.1 26.7 28.2 29.8 31.3
29+0 22.1 23.7 25.2 26.8 28.3 29.9 31.5
29+1 22.2 23.8 25.3 26.9 28.5 30.0 31.6
29+2 22.4 23.9 25.5 27.0 28.6 30.2 31.7
29+3 22.5 24.0 25.6 27.2 28.7 30.3 31.8
29+4 22.6 24.2 25.7 27.3 28.8 30.4 32.0
29+5 22.7 24.3 25.9 27.4 29.0 30.5 32.1
29+6 22.9 24.4 26.0 27.5 29.1 30.7 32.2
30+0 23.0 24.5 26.1 27.7 29.2 30.8 32.3
30+1 23.1 24.7 26.2 27.8 29.4 30.9 32.5
30+2 23.2 24.8 26.4 27.9 29.5 31.0 32.6
30+3 23.4 24.9 26.5 28.0 29.6 31.2 32.7
30+4 23.5 25.1 26.6 28.2 29.7 31.3 32.9
30+5 23.6 25.2 26.7 28.3 29.9 31.4 33.0
30+6 23.7 25.3 26.9 28.4 30.0 31.5 33.1
31+0 23.9 25.4 27.0 28.6 30.1 31.7 33.2
31+1 24.0 25.6 27.1 28.7 30.2 31.8 33.4
31+2 24.1 25.7 27.2 28.8 30.4 31.9 33.5
31+3 24.3 25.8 27.4 28.9 30.5 32.1 33.6
31+4 24.4 25.9 27.5 29.1 30.6 32.2 33.7
31+5 24.5 26.1 27.6 29.2 30.7 32.3 33.9
31+6 24.6 26.2 27.8 29.3 30.9 32.4 34.0
32+0 24.8 26.3 27.9 29.4 31.0 32.6 34.1
32+1 24.9 26.4 28.0 29.6 31.1 32.7 34.2
32+2 25.0 26.6 28.1 29.7 31.3 32.8 34.4
32+3 25.1 26.7 28.3 29.8 31.4 32.9 34.5
32+4 25.3 26.8 28.4 29.9 31.5 33.1 34.6
32+5 25.4 27.0 28.5 30.1 31.6 33.2 34.8
32+6 25.5 27.1 28.6 30.2 31.8 33.3 34.9
33+0 26.5 28.1 29.5 30.9 32.3 33.8 35.5
33+1 26.6 28.2 29.6 31.0 32.4 33.9 35.6
33+2 26.7 28.3 29.7 31.1 32.5 34.0 35.6
33+3 26.8 28.4 29.8 31.1 32.5 34.0 35.7
33+4 26.9 28.5 29.9 31.2 32.6 34.1 35.8
33+5 27.0 28.6 30.0 31.3 32.7 34.2 35.8
33+6 27.1 28.7 30.1 31.4 32.8 34.2 35.9
34+0 27.2 28.8 30.1 31.5 32.8 34.3 36.0
34+1 27.3 28.9 30.2 31.6 32.9 34.4 36.0
34+2 27.4 28.9 30.3 31.6 33.0 34.4 36.1
34+3 27.5 29.0 30.4 31.7 33.1 34.5 36.1
34+4 27.6 29.1 30.5 31.8 33.1 34.6 36.2
34+5 27.7 29.2 30.6 31.9 33.2 34.6 36.2
34+6 27.8 29.3 30.7 31.9 33.3 34.7 36.3
35+0 27.9 29.4 30.7 32.0 33.3 34.8 36.4
35+1 28.0 29.5 30.8 32.1 33.4 34.8 36.4
35+2 28.1 29.6 30.9 32.2 33.5 34.9 36.5
35+3 28.2 29.7 31.0 32.2 33.6 34.9 36.5
35+4 28.3 29.7 31.1 32.3 33.6 35.0 36.6
35+5 28.4 29.8 31.1 32.4 33.7 35.1 36.6
35+6 28.4 29.9 31.2 32.5 33.8 35.1 36.7
36+0 28.5 30.0 31.3 32.5 33.8 35.2 36.7
36+1 28.6 30.1 31.4 32.6 33.9 35.3 36.8
36+2 28.7 30.2 31.4 32.7 34.0 35.3 36.9
36+3 28.8 30.2 31.5 32.8 34.0 35.4 36.9
36+4 28.9 30.3 31.6 32.8 34.1 35.4 37.0
36+5 29.0 30.4 31.7 32.9 34.1 35.5 37.0
36+6 29.0 30.5 31.7 33.0 34.2 35.5 37.1
37+0 29.1 30.5 31.8 33.0 34.3 35.6 37.1
37+1 29.2 30.6 31.9 33.1 34.3 35.7 37.2
37+2 29.3 30.7 32.0 33.2 34.4 35.7 37.2
37+3 29.4 30.8 32.0 33.2 34.5 35.8 37.3
37+4 29.4 30.8 32.1 33.3 34.5 35.8 37.3
37+5 29.5 30.9 32.2 33.3 34.6 35.9 37.4
37+6 29.6 31.0 32.2 33.4 34.6 35.9 37.4
38+0 29.7 31.1 32.3 33.5 34.7 36.0 37.5
38+1 29.8 31.1 32.4 33.5 34.8 36.0 37.5
38+2 29.8 31.2 32.4 33.6 34.8 36.1 37.6
38+3 29.9 31.3 32.5 33.7 34.9 36.2 37.6
38+4 30.0 31.3 32.6 33.7 34.9 36.2 37.7
38+5 30.1 31.4 32.6 33.8 35.0 36.3 37.7
38+6 30.1 31.5 32.7 33.8 35.0 36.3 37.8
39+0 30.2 31.5 32.8 33.9 35.1 36.4 37.8
39+1 30.3 31.6 32.8 34.0 35.1 36.4 37.8
39+2 30.3 31.7 32.9 34.0 35.2 36.5 37.9
39+3 30.4 31.7 32.9 34.1 35.3 36.5 37.9
39+4 30.5 31.8 33.0 34.1 35.3 36.6 38.0
39+5 30.5 31.9 33.1 34.2 35.4 36.6 38.0
39+6 30.6 31.9 33.1 34.3 35.4 36.7 38.1
40+0 30.7 32.0 33.2 34.3 35.5 36.7 38.1
40+1 30.8 32.1 33.2 34.4 35.5 36.8 38.2
40+2 30.8 32.1 33.3 34.4 35.6 36.8 38.2
