24+0 26.9 27.5 28.5 31.8 35.1 36.1 36.7
24+1 27.1 27.7 28.6 32.0 35.3 36.2 36.9
24+2 27.3 27.9 28.8 32.2 35.5 36.4 37.0
24+3 27.4 28.1 29.0 32.3 35.7 36.6 37.2
24+4 27.6 28.2 29.2 32.5 35.8 36.8 37.4
24+5 27.8 28.4 29.4 32.7 36.0 37.0 37.6
24+6 28.0 28.6 29.5 32.9 36.2 37.2 37.8
25+0 28.2 28.8 29.7 33.1 36.4 37.3 37.9
25+1 28.4 29.0 29.9 33.2 36.6 37.5 38.1
25+2 28.5 29.1 30.1 33.4 36.8 37.7 38.3
25+3 28.7 29.3 30.3 33.6 36.9 37.9 38.5
25+4 28.9 29.5 30.5 33.8 37.1 38.1 38.7
25+5 29.1 29.7 30.6 34.0 37.3 38.2 38.9
25+6 29.3 29.9 30.8 34.1 37.5 38.4 39.0
26+0 29.4 30.1 31.0 34.3 37.7 38.6 39.2
26+1 29.6 30.2 31.2 34.5 37.8 38.8 39.4
26+2 29.8 30.4 31.4 34.7 38.0 39.0 39.6
26+3 30.0 30.6 31.5 34.9 38.2 39.1 39.8
26+4 30.2 30.8 31.7 35.1 38.4 39.3 39.9
26+5 30.3 31.0 31.9 35.2 38.6 39.5 40.1
26+6 30.5 31.1 32.1 35.4 38.7 39.7 40.3
27+0 30.7 31.3 32.3 35.6 38.9 39.9 40.5
27+1 30.9 31.5 32.4 35.8 39.1 40.1 40.7
27+2 31.1 31.7 32.6 36.0 39.3 40.2 40.9
27+3 31.3 31.9 32.8 36.1 39.5 40.4 41.0
27+4 31.4 32.0 33.0 36.3 39.7 40.6 41.2
27+5 31.6 32.2 33.2 36.5 39.8 40.8 41.4
27+6 31.8 32.4 33.4 36.7 40.0 41.0 41.6
28+0 32.0 32.6 33.5 36.9 40.2 41.1 41.8
28+1 32.2 32.8 33.7 37.0 40.4 41.3 41.9
28+2 32.3 33.0 33.9 37.2 40.6 41.5 42.1
28+3 32.5 33.1 34.1 37.4 40.7 41.7 42.3
28+4 32.7 33.3 34.3 37.6 40.9 41.9 42.5
28+5 32.9 33.5 34.4 37.8 41.1 42.1 42.7
28+6 33.1 33.7 34.6 38.0 41.3 42.2 42.8
29+0 33.2 33.9 34.8 38.1 41.5 42.4 43.0
29+1 33.4 34.0 35.0 38.3 41.7 42.6 43.2
29+2 33.6 34.2 35.2 38.5 41.8 42.8 43.4
29+3 33.8 34.4 35.4 38.7 42.0 43.0 43.6
29+4 34.0 34.6 35.5 38.9 42.2 43.1 43.8
29+5 34.2 34.8 35.7 39.0 42.4 43.3 43.9
29+6 34.3 35.0 35.9 39.2 42.6 43.5 44.1
30+0 34.5 35.1 36.1 39.4 42.7 43.7 44.3
30+1 34.7 35.3 36.3 39.6 42.9 43.9 44.5
30+2 34.9 35.5 36.4 39.8 43.1 44.0 44.7
30+3 35.1 35.7 36.6 40.0 43.3 44.2 44.8
30+4 35.2 35.9 36.8 40.1 43.5 44.4 45.0
30+5 35.4 36.0 37.0 40.3 43.6 44.6 45.2
30+6 35.6 36.2 37.2 40.5 43.8 44.8 45.4
31+0 35.8 36.4 37.3 40.7 44.0 45.0 45.6
31+1 36.0 36.6 37.5 40.9 44.2 45.1 45.7
31+2 36.2 36.8 37.7 41.0 44.4 45.3 45.9
31+3 36.3 36.9 37.9 41.2 44.6 45.5 46.1
31+4 36.5 37.1 38.1 41.4 44.7 45.7 46.3
31+5 36.7 37.3 38.3 41.6 44.9 45.9 46.5
31+6 36.9 37.5 38.4 41.8 45.1 46.0 46.7
32+0 37.1 37.7 38.6 41.9 45.3 46.2 46.8
32+1 37.2 37.9 38.8 42.1 45.5 46.4 47.0
