24+0 24.0 26.6 29.2 31.8 34.4 37.0 39.6
24+1 24.2 26.8 29.4 32.0 34.6 37.2 39.8
24+2 24.4 27.0 29.6 32.2 34.8 37.4 39.9
24+3 24.5 27.1 29.7 32.3 34.9 37.5 40.1
24+4 24.7 27.3 29.9 32.5 35.1 37.7 40.3
24+5 24.9 27.5 30.1 32.7 35.3 37.9 40.5
24+6 25.1 27.7 30.3 32.9 35.5 38.1 40.7
25+0 25.3 27.9 30.5 33.1 35.7 38.3 40.9
25+1 25.4 28.0 30.6 33.2 35.8 38.4 41.0
25+2 25.6 28.2 30.8 33.4 36.0 38.6 41.2
25+3 25.8 28.4 31.0 33.6 36.2 38.8 41.4
25+4 26.0 28.6 31.2 33.8 36.4 39.0 41.6
25+5 26.2 28.8 31.4 34.0 36.6 39.2 41.8
25+6 26.3 28.9 31.5 34.1 36.7 39.3 41.9
26+0 26.5 29.1 31.7 34.3 36.9 39.5 42.1
26+1 26.7 29.3 31.9 34.5 37.1 39.7 42.3
26+2 26.9 29.5 32.1 34.7 37.3 39.9 42.5
26+3 27.1 29.7 32.3 34.9 37.5 40.1 42.7
26+4 27.3 29.9 32.5 35.1 37.7 40.3 42.9
26+5 27.4 30.0 32.6 35.2 37.8 40.4 43.0
26+6 27.6 30.2 32.8 35.4 38.0 40.6 43.2
27+0 27.8 30.4 33.0 35.6 38.2 40.8 43.4
27+1 28.0 30.6 33.2 35.8 38.4 41.0 43.6
27+2 28.2 30.8 33.4 36.0 38.6 41.2 43.8
27+3 28.3 30.9 33.5 36.1 38.7 41.3 43.9
27+4 28.5 31.1 33.7 36.3 38.9 41.5 44.1
27+5 28.7 31.3 33.9 36.5 39.1 41.7 44.3
27+6 28.9 31.5 34.1 36.7 39.3 41.9 44.5
28+0 29.1 31.7 34.3 36.9 39.5 42.1 44.7
28+1 29.3 31.9 34.5 37.0 39.6 42.2 44.8
28+2 29.4 32.0 34.6 37.2 39.8 42.4 45.0
28+3 29.6 32.2 34.8 37.4 40.0 42.6 45.2
28+4 29.8 32.4 35.0 37.6 40.2 42.8 45.4
28+5 30.0 32.6 35.2 37.8 40.4 43.0 45.6
28+6 30.2 32.8 35.4 38.0 40.6 43.2 45.8
29+0 30.3 32.9 35.5 38.1 40.7 43.3 45.9
29+1 30.5 33.1 35.7 38.3 40.9 43.5 46.1
29+2 30.7 33.3 35.9 38.5 41.1 43.7 46.3
29+3 30.9 33.5 36.1 38.7 41.3 43.9 46.5
29+4 31.1 33.7 36.3 38.9 41.5 44.1 46.7
29+5 31.2 33.8 36.4 39.0 41.6 44.2 46.8
29+6 31.4 34.0 36.6 39.2 41.8 44.4 47.0
30+0 31.6 34.2 36.8 39.4 42.0 44.6 47.2
30+1 31.8 34.4 37.0 39.6 42.2 44.8 47.4
30+2 32.0 34.6 37.2 39.8 42.4 45.0 47.6
30+3 32.2 34.8 37.4 40.0 42.6 45.2 47.8
30+4 32.3 34.9 37.5 40.1 42.7 45.3 47.9
30+5 32.5 35.1 37.7 40.3 42.9 45.5 48.1
30+6 32.7 35.3 37.9 40.5 43.1 45.7 48.3
31+0 32.9 35.5 38.1 40.7 43.3 45.9 48.5
31+1 33.1 35.7 38.3 40.9 43.5 46.1 48.7
31+2 33.2 35.8 38.4 41.0 43.6 46.2 48.8
31+3 33.4 36.0 38.6 41.2 43.8 46.4 49.0
31+4 33.6 36.2 38.8 41.4 44.0 46.6 49.2
31+5 33.8 36.4 39.0 41.6 44.2 46.8 49.4
31+6 34.0 36.6 39.2 41.8 44.4 47.0 49.6
32+0 34.1 36.7 39.3 41.9 44.5 47.1 49.7
32+1 34.3 36.9 39.5 42.1 44.7 47.3 49.9
32+2 34.5 37.1 39.7 42.3 44.9 47.5 50.1
32+3 34.7 37.3 39.9 42.5 45.1 47.7 50.3
32+4 34.9 37.5 40.1 42.7 45.3 47.9 50.5
32+5 35.1 37.7 40.3 42.9 45.5 48.1 50.7
32+6 35.2 37.8 40.4 43.0 45.6 48.2 50.8
33+0 37.2 39.5 41.6 43.4 45.2 47.1 49.3
33+1 37.4 39.7 41.7 43.6 45.4 47.3 49.5
33+2 37.6 39.9 41.9 43.7 45.5 47.4 49.6
33+3 37.8 40.1 42.1 43.9 45.7 47.6 49.8
33+4 38.0 40.3 42.3 44.1 45.8 47.7 49.9
33+5 38.1 40.5 42.4 44.2 46.0 47.9 50.0
33+6 38.3 40.6 42.6 44.4 46.1 48.0 50.2
34+0 38.5 40.8 42.8 44.6 46.3 48.2 50.3
34+1 38.7 41.0 42.9 44.7 46.4 48.3 50.4
34+2 38.8 41.1 43.1 44.9 46.6 48.4 50.6
34+3 39.0 41.3 43.2 45.0 46.7 48.6 50.7
34+4 39.2 41.4 43.4 45.2 46.9 48.7 50.8
34+5 39.3 41.6 43.5 45.3 47.0 48.8 51.0
34+6 39.5 41.8 43.7 45.4 47.1 49.0 51.1
35+0 39.7 41.9 43.8 45.6 47.3 49.1 51.2
35+1 39.8 42.1 44.0 45.7 47.4 49.2 51.3
35+2 40.0 42.2 44.1 45.8 47.5 49.3 51.4
35+3 40.1 42.3 44.2 46.0 47.7 49.5 51.5
35+4 40.3 42.5 44.4 46.1 47.8 49.6 51.7
35+5 40.4 42.6 44.5 46.2 47.9 49.7 51.8
35+6 40.6 42.8 44.6 46.4 48.0 49.8 51.9
36+0 40.7 42.9 44.8 46.5 48.1 49.9 52.0
36+1 40.8 43.0 44.9 46.6 48.3 50.0 52.1
36+2 41.0 43.2 45.0 46.7 48.4 50.1 52.2
36+3 41.1 43.3 45.1 46.8 48.5 50.2 52.3
36+4 41.3 43.4 45.3 47.0 48.6 50.4 52.4
36+5 41.4 43.5 45.4 47.1 48.7 50.5 52.5
36+6 41.5 43.7 45.5 47.2 48.8 50.6 52.6
37+0 41.6 43.8 45.6 47.3 48.9 50.7 52.7
37+1 41.8 43.9 45.7 47.4 49.0 50.8 52.8
37+2 41.9 44.0 45.8 47.5 49.1 50.9 52.9
37+3 42.0 44.1 45.9 47.6 49.2 51.0 53.0
37+4 42.1 44.2 46.1 47.7 49.3 51.0 53.0
37+5 42.2 44.4 46.2 47.8 49.4 51.1 53.1
37+6 42.3 44.5 46.3 47.9 49.5 51.2 53.2
38+0 42.5 44.6 46.4 48.0 49.6 51.3 53.3
38+1 42.6 44.7 46.5 48.1 49.7 51.4 53.4
38+2 42.7 44.8 46.6 48.2 49.8 51.5 53.5
38+3 42.8 44.9 46.7 48.3 49.9 51.6 53.5
38+4 42.9 45.0 46.8 48.4 50.0 51.7 53.6
38+5 43.0 45.1 46.9 48.5 50.1 51.7 53.7
38+6 43.1 45.2 46.9 48.6 50.1 51.8 53.8
39+0 43.2 45.3 47.0 48.7 50.2 51.9 53.9
39+1 43.3 45.4 47.1 48.7 50.3 52.0 53.9
39+2 43.4 45.5 47.2 48.8 50.4 52.1 54.0
39+3 43.5 45.6 47.3 48.9 50.5 52.1 54.1
39+4 43.6 45.6 47.4 49.0 50.6 52.2 54.1
39+5 43.7 45.7 47.5 49.1 50.6 52.3 54.2
39+6 43.8 45.8 47.6 49.2 50.7 52.4 54.3
40+0 43.9 45.9 47.6 49.2 50.8 52.4 54.3
40+1 44.0 46.0 47.7 49.3 50.9 52.5 54.4
40+2 44.0 46.1 47.8 49.4 50.9 52.6 54.5
40+3 44.1 46.2 47.9 49.5 51.0 52.6 54.5
40+4 44.2 46.2 48.0 49.5 51.1 52.7 54.6
40+5 44.3 46.3 48.0 49.6 51.1 52.8 54.7
40+6 44.4 46.4 48.1 49.7 51.2 52.8 54.7
41+0 44.5 46.5 48.2 49.8 51.3 52.9 54.8
41+1 44.5 46.6 48.3 49.8 51.3 53.0 54.8
41+2 44.6 46.6 48.3 49.9 51.4 53.0 54.9
41+3 44.7 46.7 48.4 50.0 51.5 53.1 55.0
41+4 44.8 46.8 48.5 50.0 51.5 53.2 55.0
41+5 44.9 46.8 48.5 50.1 51.6 53.2 55.1
41+6 44.9 46.9 48.6 50.2 51.7 53.3 55.1
42+0 45.0 47.0 48.7 50.2 51.7 53.3 55.2
42+1 45.1 47.1 48.7 50.3 51.8 53.4 55.2
42+2 45.2 47.1 48.8 50.3 51.8 53.4 55.3
42+3 45.2 47.2 48.9 50.4 51.9 53.5 55.3
42+4 45.3 47.3 48.9 50.5 52.0 53.5 55.4
42+5 45.4 47.3 49.0 50.5 52.0 53.6 55.4
42+6 45.4 47.4 49.1 50.6 52.1 53.7 55.5
