24+0 27.3 27.9 28.9 32.2 35.5 36.5 37.1
24+1 27.5 28.1 29.1 32.4 35.7 36.7 37.3
24+2 27.7 28.3 29.2 32.6 35.9 36.9 37.5
24+3 27.9 28.5 29.4 32.8 36.1 37.0 37.6
24+4 28.1 28.7 29.6 32.9 36.3 37.2 37.8
24+5 28.2 28.8 29.8 33.1 36.5 37.4 38.0
24+6 28.4 29.0 30.0 33.3 36.6 37.6 38.2
25+0 28.6 29.2 30.2 33.5 36.8 37.8 38.4
25+1 28.8 29.4 30.3 33.7 37.0 37.9 38.6
25+2 29.0 29.6 30.5 33.8 37.2 38.1 38.7
25+3 29.1 29.8 30.7 34.0 37.4 38.3 38.9
25+4 29.3 29.9 30.9 34.2 37.5 38.5 39.1
25+5 29.5 30.1 31.1 34.4 37.7 38.7 39.3
25+6 29.7 30.3 31.2 34.6 37.9 38.8 39.5
26+0 29.9 30.5 31.4 34.8 38.1 39.0 39.6
26+1 30.0 30.7 31.6 34.9 38.3 39.2 39.8
26+2 30.2 30.8 31.8 35.1 38.4 39.4 40.0
26+3 30.4 31.0 32.0 35.3 38.6 39.6 40.2
26+4 30.6 31.2 32.1 35.5 38.8 39.8 40.4
26+5 30.8 31.4 32.3 35.7 39.0 39.9 40.6
26+6 31.0 31.6 32.5 35.8 39.2 40.1 40.7
27+0 31.1 31.7 32.7 36.0 39.4 40.3 40.9
27+1 31.3 31.9 32.9 36.2 39.5 40.5 41.1
27+2 31.5 32.1 33.1 36.4 39.7 40.7 41.3
27+3 31.7 32.3 33.2 36.6 39.9 40.8 41.5
27+4 31.9 32.5 33.4 36.8 40.1 41.0 41.6
27+5 32.0 32.7 33.6 36.9 40.3 41.2 41.8
27+6 32.2 32.8 33.8 37.1 40.4 41.4 42.0
28+0 32.4 33.0 34.0 37.3 40.6 41.6 42.2
28+1 32.6 33.2 34.1 37.5 40.8 41.8 42.4
28+2 32.8 33.4 34.3 37.7 41.0 41.9 42.5
28+3 32.9 33.6 34.5 37.8 41.2 42.1 42.7
28+4 33.1 33.7 34.7 38.0 41.4 42.3 42.9
28+5 33.3 33.9 34.9 38.2 41.5 42.5 43.1
28+6 33.5 34.1 35.1 38.4 41.7 42.7 43.3
29+0 33.7 34.3 35.2 38.6 41.9 42.8 43.5
29+1 33.9 34.5 35.4 38.7 42.1 43.0 43.6
29+2 34.0 34.7 35.6 38.9 42.3 43.2 43.8
29+3 34.2 34.8 35.8 39.1 42.4 43.4 44.0
29+4 34.4 35.0 36.0 39.3 42.6 43.6 44.2
29+5 34.6 35.2 36.1 39.5 42.8 43.7 44.4
29+6 34.8 35.4 36.3 39.7 43.0 43.9 44.5
30+0 34.9 35.6 36.5 39.8 43.2 44.1 44.7
30+1 35.1 35.7 36.7 40.0 43.3 44.3 44.9
30+2 35.3 35.9 36.9 40.2 43.5 44.5 45.1
30+3 35.5 36.1 37.0 40.4 43.7 44.7 45.3
30+4 35.7 36.3 37.2 40.6 43.9 44.8 45.4
