24+0 24.4 27.0 29.6 32.2 34.8 37.4 40.0
24+1 24.6 27.2 29.8 32.4 35.0 37.6 40.2
24+2 24.8 27.4 30.0 32.6 35.2 37.8 40.4
24+3 25.0 27.6 30.2 32.8 35.4 38.0 40.6
24+4 25.1 27.7 30.3 32.9 35.5 38.1 40.7
24+5 25.3 27.9 30.5 33.1 35.7 38.3 40.9
24+6 25.5 28.1 30.7 33.3 35.9 38.5 41.1
25+0 25.7 28.3 30.9 33.5 36.1 38.7 41.3
25+1 25.9 28.5 31.1 33.7 36.3 38.9 41.5
25+2 26.0 28.6 31.2 33.8 36.4 39.0 41.6
25+3 26.2 28.8 31.4 34.0 36.6 39.2 41.8
25+4 26.4 29.0 31.6 34.2 36.8 39.4 42.0
25+5 26.6 29.2 31.8 34.4 37.0 39.6 42.2
25+6 26.8 29.4 32.0 34.6 37.2 39.8 42.4
26+0 27.0 29.6 32.2 34.8 37.4 40.0 42.6
26+1 27.1 29.7 32.3 34.9 37.5 40.1 42.7
26+2 27.3 29.9 32.5 35.1 37.7 40.3 42.9
26+3 27.5 30.1 32.7 35.3 37.9 40.5 43.1
26+4 27.7 30.3 32.9 35.5 38.1 40.7 43.3
26+5 27.9 30.5 33.1 35.7 38.3 40.9 43.5
26+6 28.0 30.6 33.2 35.8 38.4 41.0 43.6
27+0 28.2 30.8 33.4 36.0 38.6 41.2 43.8
27+1 28.4 31.0 33.6 36.2 38.8 41.4 44.0
27+2 28.6 31.2 33.8 36.4 39.0 41.6 44.2
27+3 28.8 31.4 34.0 36.6 39.2 41.8 44.4
27+4 29.0 31.6 34.2 36.8 39.3 41.9 44.5
27+5 29.1 31.7 34.3 36.9 39.5 42.1 44.7
27+6 29.3 31.9 34.5 37.1 39.7 42.3 44.9
28+0 29.5 32.1 34.7 37.3 39.9 42.5 45.1
28+1 29.7 32.3 34.9 37.5 40.1 42.7 45.3
28+2 29.9 32.5 35.1 37.7 40.3 42.9 45.5
28+3 30.0 32.6 35.2 37.8 40.4 43.0 45.6
28+4 30.2 32.8 35.4 38.0 40.6 43.2 45.8
28+5 30.4 33.0 35.6 38.2 40.8 43.4 46.0
28+6 30.6 33.2 35.8 38.4 41.0 43.6 46.2
29+0 30.8 33.4 36.0 38.6 41.2 43.8 46.4
29+1 30.9 33.5 36.1 38.7 41.3 43.9 46.5
29+2 31.1 33.7 36.3 38.9 41.5 44.1 46.7
29+3 31.3 33.9 36.5 39.1 41.7 44.3 46.9
29+4 31.5 34.1 36.7 39.3 41.9 44.5 47.1
29+5 31.7 34.3 36.9 39.5 42.1 44.7 47.3
29+6 31.9 34.5 37.1 39.7 42.3 44.9 47.5
30+0 32.0 34.6 37.2 39.8 42.4 45.0 47.6
30+1 32.2 34.8 37.4 40.0 42.6 45.2 47.8
30+2 32.4 35.0 37.6 40.2 42.8 45.4 48.0
30+3 32.6 35.2 37.8 40.4 43.0 45.6 48.2
30+4 32.8 35.4 38.0 40.6 43.2 45.8 48.4
30+5 32.9 35.5 38.1 40.7 43.3 45.9 48.5
30+6 33.1 35.7 38.3 40.9 43.5 46.1 48.7
31+0 33.3 35.9 38.5 41.1 43.7 46.3 48.9
31+1 33.5 36.1 38.7 41.3 43.9 46.5 49.1
31+2 33.7 36.3 38.9 41.5 44.1 46.7 49.3
31+3 33.9 36.4 39.0 41.6 44.2 46.8 49.4
31+4 34.0 36.6 39.2 41.8 44.4 47.0 49.6
31+5 34.2 36.8 39.4 42.0 44.6 47.2 49.8
31+6 34.4 37.0 39.6 42.2 44.8 47.4 50.0
32+0 34.6 37.2 39.8 42.4 45.0 47.6 50.2
32+1 34.8 37.4 40.0 42.6 45.2 47.8 50.4
32+2 34.9 37.5 40.1 42.7 45.3 47.9 50.5
32+3 35.1 37.7 40.3 42.9 45.5 48.1 50.7
32+4 35.3 37.9 40.5 43.1 45.7 48.3 50.9
32+5 35.5 38.1 40.7 43.3 45.9 48.5 51.1
32+6 35.7 38.3 40.9 43.5 46.1 48.7 51.3
33+0 36.6 39.4 41.7 43.8 45.9 48.3 51.1
33+1 36.8 39.6 41.9 44.0 46.1 48.4 51.3
33+2 37.0 39.8 42.1 44.2 46.2 48.6 51.4
33+3 37.2 40.0 42.3 44.3 46.4 48.7 51.5
33+4 37.5 40.2 42.5 44.5 46.6 48.8 51.6
33+5 37.7 40.4 42.6 44.7 46.7 49.0 51.7
33+6 37.9 40.6 42.8 44.8 46.9 49.1 51.8
34+0 38.1 40.8 43.0 45.0 47.0 49.2 52.0
34+1 38.3 41.0 43.1 45.1 47.1 49.4 52.1
34+2 38.5 41.1 43.3 45.3 47.3 49.5 52.2
34+3 38.7 41.3 43.5 45.4 47.4 49.6 52.3
34+4 38.9 41.5 43.6 45.6 47.6 49.7 52.4
34+5 39.1 41.7 43.8 45.7 47.7 49.9 52.5
34+6 39.2 41.8 44.0 45.9 47.8 50.0 52.6
35+0 39.4 42.0 44.1 46.0 48.0 50.1 52.7
35+1 39.6 42.2 44.3 46.2 48.1 50.2 52.8
35+2 39.8 42.3 44.4 46.3 48.2 50.3 52.9
35+3 40.0 42.5 44.6 46.4 48.3 50.4 53.0
35+4 40.1 42.6 44.7 46.6 48.5 50.6 53.1
35+5 40.3 42.8 44.9 46.7 48.6 50.7 53.2
35+6 40.5 43.0 45.0 46.8 48.7 50.8 53.3
