24+0 0.42 0.44 0.47 0.60 0.77 0.83 0.87
24+1 0.43 0.45 0.48 0.61 0.79 0.84 0.88
24+2 0.44 0.46 0.49 0.63 0.80 0.86 0.90
24+3 0.44 0.46 0.50 0.64 0.82 0.88 0.92
24+4 0.45 0.47 0.51 0.65 0.83 0.89 0.94
24+5 0.46 0.48 0.52 0.66 0.85 0.91 0.95
24+6 0.47 0.49 0.53 0.68 0.87 0.93 0.97
25+0 0.48 0.50 0.54 0.69 0.88 0.95 0.99
25+1 0.49 0.51 0.55 0.70 0.90 0.96 1.01
25+2 0.50 0.52 0.56 0.71 0.92 0.98 1.03
25+3 0.51 0.53 0.57 0.73 0.93 1.00 1.05
25+4 0.52 0.54 0.58 0.74 0.95 1.02 1.07
25+5 0.53 0.55 0.59 0.76 0.97 1.04 1.09
25+6 0.54 0.56 0.60 0.77 0.99 1.06 1.11
26+0 0.55 0.57 0.61 0.78 1.01 1.08 1.13
26+1 0.56 0.58 0.62 0.80 1.02 1.10 1.15
26+2 0.57 0.59 0.64 0.81 1.04 1.12 1.17
26+3 0.58 0.60 0.65 0.83 1.06 1.14 1.19
26+4 0.59 0.62 0.66 0.85 1.08 1.16 1.22
26+5 0.60 0.63 0.67 0.86 1.10 1.18 1.24
26+6 0.61 0.64 0.68 0.88 1.12 1.20 1.26
27+0 0.62 0.65 0.70 0.89 1.14 1.23 1.28
27+1 0.63 0.66 0.71 0.91 1.16 1.25 1.31
27+2 0.64 0.67 0.72 0.93 1.19 1.27 1.33
27+3 0.66 0.69 0.74 0.94 1.21 1.30 1.36
27+4 0.67 0.70 0.75 0.96 1.23 1.32 1.38
27+5 0.68 0.71 0.76 0.98 1.25 1.34 1.41
27+6 0.69 0.72 0.78 1.00 1.27 1.37 1.43
28+0 0.70 0.74 0.79 1.01 1.30 1.39 1.46
28+1 0.72 0.75 0.81 1.03 1.32 1.42 1.48
28+2 0.73 0.76 0.82 1.05 1.34 1.44 1.51
28+3 0.74 0.78 0.83 1.07 1.37 1.47 1.54
28+4 0.76 0.79 0.85 1.09 1.39 1.49 1.56
28+5 0.77 0.81 0.86 1.11 1.42 1.52 1.59
28+6 0.78 0.82 0.88 1.13 1.44 1.55 1.62
29+0 0.80 0.83 0.90 1.15 1.47 1.58 1.65
29+1 0.81 0.85 0.91 1.17 1.50 1.60 1.68
29+2 0.83 0.86 0.93 1.19 1.52 1.63 1.71
29+3 0.84 0.88 0.94 1.21 1.55 1.66 1.74
29+4 0.86 0.90 0.96 1.23 1.58 1.69 1.77
29+5 0.87 0.91 0.98 1.25 1.60 1.72 1.80
29+6 0.89 0.93 0.99 1.27 1.63 1.75 1.83
30+0 0.90 0.94 1.01 1.30 1.66 1.78 1.86
30+1 0.92 0.96 1.03 1.32 1.69 1.81 1.90
30+2 0.93 0.98 1.05 1.34 1.72 1.84 1.93
30+3 0.95 0.99 1.07 1.36 1.75 1.88 1.96
30+4 0.97 1.01 1.08 1.39 1.78 1.91 2.00
30+5 0.98 1.03 1.10 1.41 1.81 1.94 2.03
30+6 1.00 1.05 1.12 1.44 1.84 1.97 2.07
31+0 1.02 1.06 1.14 1.46 1.87 2.01 2.10
31+1 1.03 1.08 1.16 1.49 1.90 2.04 2.14
31+2 1.05 1.10 1.18 1.51 1.94 2.08 2.17
31+3 1.07 1.12 1.20 1.54 1.97 2.11 2.21
31+4 1.09 1.14 1.22 1.56 2.00 2.15 2.25
31+5 1.11 1.16 1.24 1.59 2.04 2.19 2.29
31+6 1.12 1.18 1.26 1.62 2.07 2.22 2.33
32+0 1.14 1.20 1.28 1.64 2.11 2.26 2.37
32+1 1.16 1.22 1.31 1.67 2.14 2.30 2.40
32+2 1.18 1.24 1.33 1.70 2.18 2.34 2.45
32+3 1.20 1.26 1.35 1.73 2.21 2.38 2.49
32+4 1.22 1.28 1.37 1.76 2.25 2.42 2.53
32+5 1.24 1.30 1.40 1.79 2.29 2.46 2.57
32+6 1.26 1.32 1.42 1.82 2.33 2.50 2.61
33+0 1.20 1.29 1.41 1.86 2.35 2.51 2.61
33+1 1.24 1.33 1.45 1.90 2.40 2.55 2.66
33+2 1.28 1.37 1.49 1.94 2.44 2.59 2.70
33+3 1.32 1.40 1.53 1.98 2.48 2.63 2.74
33+4 1.36 1.44 1.57 2.02 2.52 2.67 2.78
33+5 1.39 1.48 1.61 2.06 2.56 2.72 2.82
33+6 1.43 1.52 1.65 2.09 2.60 2.75 2.86
34+0 1.47 1.55 1.68 2.13 2.64 2.79 2.90
34+1 1.50 1.59 1.72 2.17 2.67 2.83 2.94
34+2 1.54 1.62 1.75 2.20 2.71 2.87 2.98
34+3 1.57 1.66 1.79 2.24 2.75 2.91 3.01
34+4 1.61 1.69 1.82 2.28 2.79 2.94 3.05
34+5 1.64 1.73 1.86 2.31 2.82 2.98 3.09
34+6 1.67 1.76 1.89 2.35 2.86 3.02 3.12
35+0 1.71 1.79 1.92 2.38 2.89 3.05 3.16
35+1 1.74 1.83 1.96 2.41 2.93 3.09 3.19
35+2 1.77 1.86 1.99 2.45 2.96 3.12 3.23
35+3 1.80 1.89 2.02 2.48 2.99 3.15 3.26
35+4 1.83 1.92 2.05 2.51 3.03 3.19 3.30
35+5 1.86 1.95 2.08 2.54 3.06 3.22 3.33
35+6 1.89 1.98 2.11 2.57 3.09 3.25 3.36
36+0 1.92 2.01 2.14 2.60 3.12 3.28 3.39
36+1 1.95 2.04 2.17 2.63 3.15 3.31 3.42
36+2 1.98 2.07 2.20 2.66 3.18 3.34 3.45
36+3 2.00 2.09 2.23 2.69 3.21 3.37 3.48
36+4 2.03 2.12 2.25 2.72 3.24 3.40 3.51
36+5 2.06 2.15 2.28 2.75 3.27 3.43 3.54
36+6 2.08 2.17 2.31 2.77 3.30 3.46 3.57
37+0 2.11 2.20 2.33 2.80 3.32 3.49 3.60
37+1 2.14 2.23 2.36 2.83 3.35 3.52 3.63
37+2 2.16 2.25 2.38 2.85 3.38 3.54 3.65
37+3 2.18 2.27 2.41 2.88 3.40 3.57 3.68
37+4 2.21 2.30 2.43 2.90 3.43 3.60 3.71
37+5 2.23 2.32 2.46 2.93 3.46 3.62 3.73
37+6 2.25 2.35 2.48 2.95 3.48 3.65 3.76
38+0 2.28 2.37 2.50 2.97 3.51 3.67 3.78
38+1 2.30 2.39 2.53 3.00 3.53 3.69 3.81
38+2 2.32 2.41 2.55 3.02 3.55 3.72 3.83
38+3 2.34 2.43 2.57 3.04 3.58 3.74 3.85
38+4 2.36 2.45 2.59 3.06 3.60 3.76 3.88
38+5 2.38 2.47 2.61 3.09 3.62 3.79 3.90
38+6 2.40 2.50 2.63 3.11 3.64 3.81 3.92
39+0 2.42 2.51 2.65 3.13 3.66 3.83 3.94
39+1 2.44 2.53 2.67 3.15 3.68 3.85 3.96
39+2 2.46 2.55 2.69 3.17 3.70 3.87 3.99
39+3 2.48 2.57 2.71 3.19 3.72 3.89 4.01
39+4 2.50 2.59 2.73 3.21 3.74 3.91 4.03
39+5 2.51 2.61 2.74 3.22 3.76 3.93 4.04
39+6 2.53 2.62 2.76 3.24 3.78 3.95 4.06
40+0 2.55 2.64 2.78 3.26 3.80 3.97 4.08
40+1 2.56 2.66 2.80 3.28 3.82 3.99 4.10
40+2 2.58 2.67 2.81 3.29 3.84 4.00 4.12
40+3 2.60 2.69 2.83 3.31 3.85 4.02 4.14
40+4 2.61 2.70 2.84 3.33 3.87 4.04 4.15
40+5 2.63 2.72 2.86 3.34 3.89 4.05 4.17
40+6 2.64 2.73 2.87 3.36 3.90 4.07 4.19
41+0 2.65 2.75 2.89 3.37 3.92 4.09 4.20
41+1 2.67 2.76 2.90 3.39 3.93 4.10 4.22
41+2 2.68 2.77 2.91 3.40 3.95 4.12 4.23
41+3 2.69 2.79 2.93 3.41 3.96 4.13 4.25
41+4 2.71 2.80 2.94 3.43 3.97 4.15 4.26
41+5 2.72 2.81 2.95 3.44 3.99 4.16 4.27
41+6 2.73 2.82 2.96 3.45 4.00 4.17 4.29
42+0 2.74 2.84 2.98 3.46 4.01 4.19 4.30
42+1 2.75 2.85 2.99 3.48 4.03 4.20 4.31
42+2 2.76 2.86 3.00 3.49 4.04 4.21 4.33
42+3 2.77 2.87 3.01 3.50 4.05 4.22 4.34
42+4 2.78 2.88 3.02 3.51 4.06 4.23 4.35
42+5 2.79 2.89 3.03 3.52 4.07 4.24 4.36
42+6 2.80 2.90 3.04 3.53 4.08 4.26 4.37
