24+0 0.34 0.41 0.50 0.60 0.73 0.89 1.07
24+1 0.34 0.42 0.51 0.61 0.74 0.90 1.10
24+2 0.35 0.43 0.52 0.63 0.76 0.92 1.12
24+3 0.36 0.43 0.53 0.64 0.77 0.94 1.14
24+4 0.36 0.44 0.54 0.65 0.79 0.96 1.16
24+5 0.37 0.45 0.55 0.66 0.80 0.98 1.18
24+6 0.38 0.46 0.56 0.68 0.82 0.99 1.21
25+0 0.39 0.47 0.57 0.69 0.84 1.01 1.23
25+1 0.39 0.48 0.58 0.70 0.85 1.03 1.25
25+2 0.40 0.49 0.59 0.71 0.87 1.05 1.28
25+3 0.41 0.49 0.60 0.73 0.88 1.07 1.30
25+4 0.42 0.50 0.61 0.74 0.90 1.09 1.33
25+5 0.42 0.51 0.62 0.76 0.92 1.11 1.35
25+6 0.43 0.52 0.64 0.77 0.93 1.13 1.38
26+0 0.44 0.53 0.65 0.78 0.95 1.16 1.40
26+1 0.45 0.54 0.66 0.80 0.97 1.18 1.43
26+2 0.46 0.55 0.67 0.81 0.99 1.20 1.45
26+3 0.46 0.56 0.68 0.83 1.01 1.22 1.48
26+4 0.47 0.57 0.70 0.85 1.03 1.24 1.51
26+5 0.48 0.58 0.71 0.86 1.04 1.27 1.54
26+6 0.49 0.60 0.72 0.88 1.06 1.29 1.57
27+0 0.50 0.61 0.74 0.89 1.08 1.31 1.59
27+1 0.51 0.62 0.75 0.91 1.10 1.34 1.62
27+2 0.52 0.63 0.76 0.93 1.12 1.36 1.65
27+3 0.53 0.64 0.78 0.94 1.14 1.39 1.68
27+4 0.54 0.65 0.79 0.96 1.16 1.41 1.71
27+5 0.55 0.66 0.81 0.98 1.19 1.44 1.74
27+6 0.56 0.68 0.82 1.00 1.21 1.46 1.78
28+0 0.57 0.69 0.84 1.01 1.23 1.49 1.81
28+1 0.58 0.70 0.85 1.03 1.25 1.52 1.84
28+2 0.59 0.71 0.87 1.05 1.27 1.55 1.87
28+3 0.60 0.73 0.88 1.07 1.30 1.57 1.91
28+4 0.61 0.74 0.90 1.09 1.32 1.60 1.94
28+5 0.62 0.75 0.91 1.11 1.34 1.63 1.98
28+6 0.63 0.77 0.93 1.13 1.37 1.66 2.01
29+0 0.64 0.78 0.95 1.15 1.39 1.69 2.05
29+1 0.65 0.79 0.96 1.17 1.42 1.72 2.08
29+2 0.67 0.81 0.98 1.19 1.44 1.75 2.12
29+3 0.68 0.82 1.00 1.21 1.47 1.78 2.16
29+4 0.69 0.84 1.01 1.23 1.49 1.81 2.20
29+5 0.70 0.85 1.03 1.25 1.52 1.84 2.23
29+6 0.71 0.87 1.05 1.27 1.55 1.87 2.27
30+0 0.73 0.88 1.07 1.30 1.57 1.91 2.31
30+1 0.74 0.90 1.09 1.32 1.60 1.94 2.35
30+2 0.75 0.91 1.11 1.34 1.63 1.97 2.39
30+3 0.76 0.93 1.13 1.36 1.66 2.01 2.44
30+4 0.78 0.94 1.14 1.39 1.68 2.04 2.48
30+5 0.79 0.96 1.16 1.41 1.71 2.08 2.52
30+6 0.80 0.98 1.18 1.44 1.74 2.11 2.56
31+0 0.82 0.99 1.20 1.46 1.77 2.15 2.61
31+1 0.83 1.01 1.23 1.49 1.80 2.19 2.65
31+2 0.85 1.03 1.25 1.51 1.83 2.22 2.70
31+3 0.86 1.04 1.27 1.54 1.87 2.26 2.74
31+4 0.88 1.06 1.29 1.56 1.90 2.30 2.79
31+5 0.89 1.08 1.31 1.59 1.93 2.34 2.84
31+6 0.91 1.10 1.33 1.62 1.96 2.38 2.89
32+0 0.92 1.12 1.36 1.64 1.99 2.42 2.94
32+1 0.94 1.14 1.38 1.67 2.03 2.46 2.99
32+2 0.95 1.16 1.40 1.70 2.06 2.50 3.04
32+3 0.97 1.17 1.43 1.73 2.10 2.54 3.09
32+4 0.98 1.19 1.45 1.76 2.13 2.59 3.14
32+5 1.00 1.21 1.47 1.79 2.17 2.63 3.19
32+6 1.02 1.23 1.50 1.82 2.20 2.67 3.24
33+0 0.75 1.15 1.50 1.85 2.23 2.66 3.16
33+1 0.79 1.19 1.55 1.89 2.27 2.70 3.21
33+2 0.83 1.23 1.59 1.93 2.31 2.74 3.25
33+3 0.86 1.27 1.62 1.97 2.35 2.78 3.29
33+4 0.90 1.31 1.66 2.01 2.39 2.83 3.34
33+5 0.94 1.35 1.70 2.05 2.43 2.87 3.38
33+6 0.97 1.38 1.74 2.09 2.47 2.91 3.42
34+0 1.01 1.42 1.78 2.13 2.51 2.95 3.46
34+1 1.04 1.46 1.81 2.16 2.55 2.99 3.50
34+2 1.08 1.49 1.85 2.20 2.59 3.03 3.54
34+3 1.11 1.53 1.89 2.24 2.63 3.06 3.58
34+4 1.15 1.56 1.92 2.27 2.66 3.10 3.62
34+5 1.18 1.59 1.95 2.31 2.70 3.14 3.66
34+6 1.21 1.63 1.99 2.34 2.73 3.17 3.70
35+0 1.24 1.66 2.02 2.38 2.77 3.21 3.73
35+1 1.27 1.69 2.05 2.41 2.80 3.24 3.77
35+2 1.31 1.72 2.09 2.44 2.84 3.28 3.80
35+3 1.34 1.75 2.12 2.48 2.87 3.31 3.84
35+4 1.37 1.78 2.15 2.51 2.90 3.35 3.87
35+5 1.39 1.81 2.18 2.54 2.93 3.38 3.91
35+6 1.42 1.84 2.21 2.57 2.97 3.41 3.94
36+0 1.45 1.87 2.24 2.60 3.00 3.45 3.97
36+1 1.48 1.90 2.27 2.63 3.03 3.48 4.01
36+2 1.51 1.93 2.30 2.66 3.06 3.51 4.04
36+3 1.53 1.96 2.33 2.69 3.09 3.54 4.07
36+4 1.56 1.99 2.36 2.72 3.12 3.57 4.10
36+5 1.59 2.01 2.38 2.74 3.15 3.60 4.13
36+6 1.61 2.04 2.41 2.77 3.17 3.63 4.16
37+0 1.64 2.06 2.44 2.80 3.20 3.65 4.19
37+1 1.66 2.09 2.46 2.83 3.23 3.68 4.22
37+2 1.68 2.11 2.49 2.85 3.26 3.71 4.25
37+3 1.71 2.14 2.51 2.88 3.28 3.74 4.28
37+4 1.73 2.16 2.54 2.90 3.31 3.76 4.30
37+5 1.75 2.19 2.56 2.93 3.33 3.79 4.33
37+6 1.78 2.21 2.58 2.95 3.36 3.82 4.36
38+0 1.80 2.23 2.61 2.97 3.38 3.84 4.38
38+1 1.82 2.25 2.63 3.00 3.41 3.86 4.41
38+2 1.84 2.27 2.65 3.02 3.43 3.89 4.43
38+3 1.86 2.30 2.67 3.04 3.45 3.91 4.46
38+4 1.88 2.32 2.69 3.06 3.47 3.94 4.48
