24+0 0.44 0.46 0.50 0.64 0.82 0.88 0.92
24+1 0.45 0.47 0.51 0.65 0.83 0.89 0.93
24+2 0.46 0.48 0.52 0.66 0.85 0.91 0.95
24+3 0.47 0.49 0.53 0.68 0.87 0.93 0.97
24+4 0.48 0.50 0.54 0.69 0.88 0.95 0.99
24+5 0.49 0.51 0.55 0.70 0.90 0.96 1.01
24+6 0.50 0.52 0.56 0.72 0.92 0.98 1.03
25+0 0.51 0.53 0.57 0.73 0.93 1.00 1.05
25+1 0.52 0.54 0.58 0.74 0.95 1.02 1.07
25+2 0.53 0.55 0.59 0.76 0.97 1.04 1.09
25+3 0.54 0.56 0.60 0.77 0.99 1.06 1.11
25+4 0.55 0.57 0.61 0.79 1.01 1.08 1.13
25+5 0.56 0.58 0.63 0.80 1.03 1.10 1.15
25+6 0.57 0.59 0.64 0.82 1.04 1.12 1.17
26+0 0.58 0.60 0.65 0.83 1.06 1.14 1.20
26+1 0.59 0.62 0.66 0.85 1.08 1.16 1.22
26+2 0.60 0.63 0.67 0.86 1.10 1.19 1.24
26+3 0.61 0.64 0.69 0.88 1.13 1.21 1.26
26+4 0.62 0.65 0.70 0.89 1.15 1.23 1.29
26+5 0.63 0.66 0.71 0.91 1.17 1.25 1.31
26+6 0.65 0.68 0.72 0.93 1.19 1.28 1.33
27+0 0.66 0.69 0.74 0.95 1.21 1.30 1.36
27+1 0.67 0.70 0.75 0.96 1.23 1.32 1.38
27+2 0.68 0.71 0.77 0.98 1.26 1.35 1.41
27+3 0.69 0.73 0.78 1.00 1.28 1.37 1.44
27+4 0.71 0.74 0.79 1.02 1.30 1.40 1.46
27+5 0.72 0.75 0.81 1.03 1.33 1.42 1.49
27+6 0.73 0.77 0.82 1.05 1.35 1.45 1.52
28+0 0.75 0.78 0.84 1.07 1.37 1.47 1.54
28+1 0.76 0.79 0.85 1.09 1.40 1.50 1.57
28+2 0.77 0.81 0.87 1.11 1.42 1.53 1.60
28+3 0.79 0.82 0.88 1.13 1.45 1.56 1.63
28+4 0.80 0.84 0.90 1.15 1.48 1.58 1.66
28+5 0.82 0.85 0.92 1.17 1.50 1.61 1.69
28+6 0.83 0.87 0.93 1.19 1.53 1.64 1.72
29+0 0.84 0.88 0.95 1.21 1.56 1.67 1.75
29+1 0.86 0.90 0.97 1.24 1.58 1.70 1.78
29+2 0.87 0.92 0.98 1.26 1.61 1.73 1.81
29+3 0.89 0.93 1.00 1.28 1.64 1.76 1.84
29+4 0.91 0.95 1.02 1.30 1.67 1.79 1.87
29+5 0.92 0.96 1.03 1.33 1.70 1.82 1.91
29+6 0.94 0.98 1.05 1.35 1.73 1.85 1.94
30+0 0.95 1.00 1.07 1.37 1.76 1.89 1.97
30+1 0.97 1.02 1.09 1.40 1.79 1.92 2.01
30+2 0.99 1.03 1.11 1.42 1.82 1.95 2.04
30+3 1.00 1.05 1.13 1.45 1.85 1.99 2.08
30+4 1.02 1.07 1.15 1.47 1.88 2.02 2.11
30+5 1.04 1.09 1.17 1.50 1.92 2.05 2.15
30+6 1.06 1.11 1.19 1.52 1.95 2.09 2.19
31+0 1.08 1.13 1.21 1.55 1.98 2.13 2.23
31+1 1.09 1.15 1.23 1.57 2.02 2.16 2.26
31+2 1.11 1.16 1.25 1.60 2.05 2.20 2.30
31+3 1.13 1.18 1.27 1.63 2.09 2.24 2.34
31+4 1.15 1.21 1.29 1.66 2.12 2.28 2.38
