24+0 0.36 0.43 0.53 0.64 0.77 0.94 1.14
24+1 0.36 0.44 0.54 0.65 0.79 0.96 1.16
24+2 0.37 0.45 0.55 0.66 0.80 0.98 1.18
24+3 0.38 0.46 0.56 0.68 0.82 0.99 1.21
24+4 0.39 0.47 0.57 0.69 0.84 1.01 1.23
24+5 0.39 0.48 0.58 0.70 0.85 1.03 1.25
24+6 0.40 0.49 0.59 0.72 0.87 1.05 1.28
25+0 0.41 0.50 0.60 0.73 0.88 1.07 1.30
25+1 0.42 0.50 0.61 0.74 0.90 1.09 1.33
25+2 0.42 0.51 0.62 0.76 0.92 1.11 1.35
25+3 0.43 0.52 0.64 0.77 0.94 1.14 1.38
25+4 0.44 0.53 0.65 0.79 0.95 1.16 1.40
25+5 0.45 0.54 0.66 0.80 0.97 1.18 1.43
25+6 0.46 0.55 0.67 0.82 0.99 1.20 1.46
26+0 0.47 0.56 0.69 0.83 1.01 1.22 1.48
26+1 0.47 0.58 0.70 0.85 1.03 1.25 1.51
26+2 0.48 0.59 0.71 0.86 1.05 1.27 1.54
26+3 0.49 0.60 0.72 0.88 1.07 1.29 1.57
26+4 0.50 0.61 0.74 0.89 1.09 1.32 1.60
26+5 0.51 0.62 0.75 0.91 1.11 1.34 1.63
26+6 0.52 0.63 0.77 0.93 1.13 1.37 1.66
27+0 0.53 0.64 0.78 0.95 1.15 1.39 1.69
27+1 0.54 0.65 0.79 0.96 1.17 1.42 1.72
27+2 0.55 0.67 0.81 0.98 1.19 1.44 1.75
27+3 0.56 0.68 0.82 1.00 1.21 1.47 1.78
27+4 0.57 0.69 0.84 1.02 1.23 1.50 1.81
27+5 0.58 0.70 0.85 1.03 1.26 1.52 1.85
27+6 0.59 0.72 0.87 1.05 1.28 1.55 1.88
28+0 0.60 0.73 0.88 1.07 1.30 1.58 1.92
28+1 0.61 0.74 0.90 1.09 1.32 1.61 1.95
28+2 0.62 0.76 0.92 1.11 1.35 1.64 1.98
28+3 0.63 0.77 0.93 1.13 1.37 1.67 2.02
28+4 0.65 0.78 0.95 1.15 1.40 1.70 2.06
28+5 0.66 0.80 0.97 1.17 1.42 1.73 2.09
28+6 0.67 0.81 0.98 1.19 1.45 1.76 2.13
29+0 0.68 0.83 1.00 1.21 1.47 1.79 2.17
29+1 0.69 0.84 1.02 1.24 1.50 1.82 2.21
29+2 0.70 0.85 1.04 1.26 1.53 1.85 2.25
29+3 0.72 0.87 1.06 1.28 1.55 1.88 2.29
29+4 0.73 0.89 1.07 1.30 1.58 1.92 2.33
29+5 0.74 0.90 1.09 1.33 1.61 1.95 2.37
29+6 0.76 0.92 1.11 1.35 1.64 1.98 2.41
30+0 0.77 0.93 1.13 1.37 1.66 2.02 2.45
30+1 0.78 0.95 1.15 1.40 1.69 2.05 2.49
30+2 0.80 0.97 1.17 1.42 1.72 2.09 2.54
30+3 0.81 0.98 1.19 1.45 1.75 2.13 2.58
30+4 0.82 1.00 1.21 1.47 1.78 2.16 2.62
30+5 0.84 1.02 1.23 1.50 1.81 2.20 2.67
30+6 0.85 1.03 1.25 1.52 1.85 2.24 2.72
31+0 0.87 1.05 1.28 1.55 1.88 2.28 2.76
31+1 0.88 1.07 1.30 1.57 1.91 2.32 2.81
31+2 0.90 1.09 1.32 1.60 1.94 2.36 2.86
31+3 0.91 1.11 1.34 1.63 1.97 2.40 2.91
31+4 0.93 1.13 1.36 1.66 2.01 2.44 2.96
