24+0 1.04 1.19 1.40 2.17 2.93 3.15 3.29
24+1 1.06 1.20 1.42 2.18 2.95 3.16 3.31
24+2 1.07 1.21 1.43 2.20 2.96 3.18 3.32
24+3 1.09 1.23 1.45 2.21 2.98 3.19 3.33
24+4 1.10 1.24 1.46 2.23 2.99 3.21 3.35
24+5 1.12 1.26 1.48 2.24 3.01 3.23 3.37
24+6 1.14 1.28 1.49 2.26 3.02 3.24 3.38
25+0 1.15 1.29 1.51 2.28 3.04 3.26 3.40
25+1 1.17 1.31 1.53 2.29 3.06 3.28 3.42
25+2 1.19 1.33 1.55 2.31 3.08 3.30 3.44
25+3 1.21 1.35 1.57 2.33 3.10 3.31 3.46
25+4 1.23 1.37 1.59 2.35 3.12 3.33 3.47
25+5 1.25 1.39 1.61 2.37 3.14 3.36 3.50
25+6 1.27 1.41 1.63 2.39 3.16 3.38 3.52
26+0 1.29 1.43 1.65 2.41 3.18 3.40 3.54
26+1 1.31 1.45 1.67 2.44 3.20 3.42 3.56
26+2 1.34 1.48 1.70 2.46 3.23 3.44 3.58
26+3 1.36 1.50 1.72 2.48 3.25 3.47 3.61
26+4 1.39 1.53 1.74 2.51 3.27 3.49 3.63
26+5 1.41 1.55 1.77 2.53 3.30 3.52 3.66
26+6 1.44 1.58 1.79 2.56 3.32 3.54 3.68
27+0 1.46 1.60 1.82 2.59 3.35 3.57 3.71
27+1 1.49 1.63 1.85 2.61 3.38 3.60 3.74
27+2 1.52 1.66 1.88 2.64 3.41 3.62 3.76
27+3 1.55 1.69 1.91 2.67 3.43 3.65 3.79
27+4 1.58 1.72 1.93 2.70 3.46 3.68 3.82
27+5 1.61 1.75 1.96 2.73 3.49 3.71 3.85
27+6 1.64 1.78 2.00 2.76 3.52 3.74 3.88
28+0 1.67 1.81 2.03 2.79 3.56 3.77 3.91
28+1 1.70 1.84 2.06 2.82 3.59 3.81 3.95
28+2 1.73 1.87 2.09 2.86 3.62 3.84 3.98
28+3 1.77 1.91 2.13 2.89 3.66 3.87 4.01
28+4 1.80 1.94 2.16 2.93 3.69 3.91 4.05
28+5 1.84 1.98 2.20 2.96 3.73 3.94 4.08
28+6 1.87 2.01 2.23 3.00 3.76 3.98 4.12
29+0 1.91 2.05 2.27 3.03 3.80 4.02 4.16
29+1 1.95 2.09 2.31 3.07 3.84 4.05 4.19
29+2 1.99 2.13 2.35 3.11 3.87 4.09 4.23
29+3 2.03 2.17 2.38 3.15 3.91 4.13 4.27
29+4 2.07 2.21 2.42 3.19 3.95 4.17 4.31
29+5 2.11 2.25 2.47 3.23 4.00 4.21 4.35
29+6 2.15 2.29 2.51 3.27 4.04 4.26 4.40
30+0 2.19 2.33 2.55 3.31 4.08 4.30 4.44
30+1 2.23 2.38 2.59 3.36 4.12 4.34 4.48
