24+0 0.38 0.97 1.57 2.17 2.77 3.36 3.96
24+1 0.39 0.99 1.58 2.18 2.78 3.38 3.97
24+2 0.40 1.00 1.60 2.20 2.79 3.39 3.99
24+3 0.42 1.02 1.61 2.21 2.81 3.41 4.00
24+4 0.43 1.03 1.63 2.23 2.82 3.42 4.02
24+5 0.45 1.05 1.64 2.24 2.84 3.44 4.03
24+6 0.47 1.06 1.66 2.26 2.86 3.45 4.05
25+0 0.48 1.08 1.68 2.28 2.87 3.47 4.07
25+1 0.50 1.10 1.70 2.29 2.89 3.49 4.09
25+2 0.52 1.12 1.72 2.31 2.91 3.51 4.11
25+3 0.54 1.14 1.73 2.33 2.93 3.53 4.12
25+4 0.56 1.16 1.75 2.35 2.95 3.55 4.14
25+5 0.58 1.18 1.77 2.37 2.97 3.57 4.16
25+6 0.60 1.20 1.80 2.39 2.99 3.59 4.19
26+0 0.62 1.22 1.82 2.41 3.01 3.61 4.21
26+1 0.64 1.24 1.84 2.44 3.03 3.63 4.23
26+2 0.67 1.27 1.86 2.46 3.06 3.66 4.25
26+3 0.69 1.29 1.89 2.48 3.08 3.68 4.28
26+4 0.72 1.31 1.91 2.51 3.11 3.70 4.30
26+5 0.74 1.34 1.94 2.53 3.13 3.73 4.33
26+6 0.77 1.36 1.96 2.56 3.16 3.75 4.35
27+0 0.79 1.39 1.99 2.59 3.18 3.78 4.38
27+1 0.82 1.42 2.02 2.61 3.21 3.81 4.41
27+2 0.85 1.45 2.04 2.64 3.24 3.84 4.43
27+3 0.88 1.47 2.07 2.67 3.27 3.86 4.46
27+4 0.91 1.50 2.10 2.70 3.30 3.89 4.49
27+5 0.94 1.53 2.13 2.73 3.33 3.92 4.52
27+6 0.97 1.57 2.16 2.76 3.36 3.96 4.55
28+0 1.00 1.60 2.19 2.79 3.39 3.99 4.58
28+1 1.03 1.63 2.23 2.82 3.42 4.02 4.62
28+2 1.06 1.66 2.26 2.86 3.45 4.05 4.65
28+3 1.10 1.70 2.29 2.89 3.49 4.09 4.68
28+4 1.13 1.73 2.33 2.93 3.52 4.12 4.72
28+5 1.17 1.77 2.36 2.96 3.56 4.16 4.75
28+6 1.20 1.80 2.40 3.00 3.59 4.19 4.79
29+0 1.24 1.84 2.44 3.03 3.63 4.23 4.83
29+1 1.28 1.88 2.47 3.07 3.67 4.27 4.86
29+2 1.32 1.92 2.51 3.11 3.71 4.31 4.90
29+3 1.36 1.95 2.55 3.15 3.75 4.34 4.94
29+4 1.40 1.99 2.59 3.19 3.79 4.38 4.98
29+5 1.44 2.04 2.63 3.23 3.83 4.43 5.02
29+6 1.48 2.08 2.67 3.27 3.87 4.47 5.06
30+0 1.52 2.12 2.72 3.31 3.91 4.51 5.11
30+1 1.57 2.16 2.76 3.36 3.96 4.55 5.15
30+2 1.61 2.21 2.80 3.40 4.00 4.60 5.19
30+3 1.66 2.25 2.85 3.45 4.05 4.64 5.24
30+4 1.70 2.30 2.90 3.49 4.09 4.69 5.29
30+5 1.75 2.35 2.94 3.54 4.14 4.74 5.33
30+6 1.80 2.39 2.99 3.59 4.19 4.78 5.38
31+0 1.84 2.44 3.04 3.64 4.23 4.83 5.43
31+1 1.89 2.49 3.09 3.69 4.28 4.88 5.48
31+2 1.94 2.54 3.14 3.74 4.33 4.93 5.53
31+3 1.99 2.59 3.19 3.79 4.38 4.98 5.58
31+4 2.05 2.64 3.24 3.84 4.44 5.03 5.63
31+5 2.10 2.70 3.29 3.89 4.49 5.09 5.68
31+6 2.15 2.75 3.35 3.95 4.54 5.14 5.74
32+0 2.21 2.81 3.40 4.00 4.60 5.20 5.79
32+1 2.26 2.86 3.46 4.06 4.65 5.25 5.85
32+2 2.32 2.92 3.52 4.11 4.71 5.31 5.91
32+3 2.38 2.98 3.57 4.17 4.77 5.37 5.96
32+4 2.44 3.03 3.63 4.23 4.83 5.42 6.02
32+5 2.50 3.09 3.69 4.29 4.89 5.48 6.08
32+6 2.56 3.15 3.75 4.35 4.95 5.54 6.14
33+0 2.45 3.13 3.81 4.49 5.18 5.86 6.54
33+1 2.51 3.19 3.87 4.55 5.23 5.91 6.59
33+2 2.57 3.25 3.93 4.61 5.29 5.97 6.65
33+3 2.63 3.31 3.99 4.67 5.35 6.03 6.71
33+4 2.68 3.36 4.04 4.73 5.41 6.09 6.77
33+5 2.74 3.42 4.10 4.78 5.46 6.14 6.82
33+6 2.80 3.48 4.16 4.84 5.52 6.20 6.88
34+0 2.85 3.53 4.21 4.89 5.57 6.25 6.94
34+1 2.91 3.59 4.27 4.95 5.63 6.31 6.99
34+2 2.96 3.64 4.32 5.00 5.68 6.36 7.05
34+3 3.02 3.70 4.38 5.06 5.74 6.42 7.10
34+4 3.07 3.75 4.43 5.11 5.79 6.47 7.15
34+5 3.12 3.80 4.48 5.16 5.84 6.53 7.21
34+6 3.17 3.86 4.54 5.22 5.90 6.58 7.26
35+0 3.23 3.91 4.59 5.27 5.95 6.63 7.31
35+1 3.28 3.96 4.64 5.32 6.00 6.68 7.36
35+2 3.33 4.01 4.69 5.37 6.05 6.73 7.41
35+3 3.38 4.06 4.74 5.42 6.10 6.78 7.46
35+4 3.43 4.11 4.79 5.47 6.15 6.83 7.51
35+5 3.48 4.16 4.84 5.52 6.20 6.88 7.56
35+6 3.53 4.21 4.89 5.57 6.25 6.93 7.61
36+0 3.57 4.25 4.93 5.62 6.30 6.98 7.66
36+1 3.62 4.30 4.98 5.66 6.34 7.02 7.70
36+2 3.67 4.35 5.03 5.71 6.39 7.07 7.75
36+3 3.71 4.39 5.07 5.75 6.44 7.12 7.80
36+4 3.76 4.44 5.12 5.80 6.48 7.16 7.84
36+5 3.80 4.48 5.16 5.84 6.52 7.21 7.89
36+6 3.85 4.53 5.21 5.89 6.57 7.25 7.93
37+0 3.89 4.57 5.25 5.93 6.61 7.29 7.97
37+1 3.93 4.61 5.29 5.97 6.65 7.33 8.02
37+2 3.97 4.65 5.33 6.02 6.70 7.38 8.06
37+3 4.01 4.69 5.38 6.06 6.74 7.42 8.10
37+4 4.05 4.73 5.42 6.10 6.78 7.46 8.14
37+5 4.09 4.77 5.45 6.14 6.82 7.50 8.18
37+6 4.13 4.81 5.49 6.17 6.85 7.54 8.22
38+0 4.17 4.85 5.53 6.21 6.89 7.57 8.25
38+1 4.21 4.89 5.57 6.25 6.93 7.61 8.29
38+2 4.24 4.92 5.60 6.28 6.97 7.65 8.33
38+3 4.28 4.96 5.64 6.32 7.00 7.68 8.36
38+4 4.31 4.99 5.67 6.35 7.04 7.72 8.40
38+5 4.35 5.03 5.71 6.39 7.07 7.75 8.43
38+6 4.38 5.06 5.74 6.42 7.10 7.78 8.46
39+0 4.41 5.09 5.77 6.45 7.13 7.81 8.50
39+1 4.44 5.12 5.80 6.48 7.17 7.85 8.53
39+2 4.47 5.15 5.83 6.51 7.20 7.88 8.56
39+3 4.50 5.18 5.86 6.54 7.22 7.91 8.59
39+4 4.53 5.21 5.89 6.57 7.25 7.93 8.61
39+5 4.56 5.24 5.92 6.60 7.28 7.96 8.64
39+6 4.58 5.27 5.95 6.63 7.31 7.99 8.67
40+0 4.61 5.29 5.97 6.65 7.33 8.01 8.69
40+1 4.64 5.32 6.00 6.68 7.36 8.04 8.72
40+2 4.66 5.34 6.02 6.70 7.38 8.06 8.74
40+3 4.68 5.36 6.04 6.72 7.40 8.08 8.77
40+4 4.70 5.38 6.06 6.75 7.43 8.11 8.79
40+5 4.72 5.40 6.09 6.77 7.45 8.13 8.81
40+6 4.74 5.42 6.11 6.79 7.47 8.15 8.83
41+0 4.76 5.44 6.12 6.80 7.49 8.17 8.85
41+1 4.78 5.46 6.14 6.82 7.50 8.18 8.86
41+2 4.80 5.48 6.16 6.84 7.52 8.20 8.88
41+3 4.81 5.49 6.17 6.85 7.54 8.22 8.90
41+4 4.83 5.51 6.19 6.87 7.55 8.23 8.91
41+5 4.84 5.52 6.20 6.88 7.56 8.24 8.92
41+6 4.85 5.53 6.21 6.90 7.58 8.26 8.94
42+0 4.86 5.55 6.23 6.91 7.59 8.27 8.95
42+1 4.88 5.56 6.24 6.92 7.60 8.28 8.96
42+2 4.88 5.56 6.25 6.93 7.61 8.29 8.97
42+3 4.89 5.57 6.25 6.93 7.61 8.30 8.98
42+4 4.90 5.58 6.26 6.94 7.62 8.30 8.98
42+5 4.90 5.59 6.27 6.95 7.63 8.31 8.99
42+6 4.91 5.59 6.27 6.95 7.63 8.31 8.99
