24+0 1.18 1.32 1.54 2.31 3.07 3.29 3.43
24+1 1.20 1.34 1.56 2.32 3.09 3.30 3.44
24+2 1.21 1.35 1.57 2.33 3.10 3.32 3.46
24+3 1.23 1.37 1.58 2.35 3.11 3.33 3.47
24+4 1.24 1.38 1.60 2.36 3.13 3.35 3.49
24+5 1.26 1.40 1.62 2.38 3.15 3.36 3.50
24+6 1.27 1.41 1.63 2.40 3.16 3.38 3.52
25+0 1.29 1.43 1.65 2.41 3.18 3.40 3.54
25+1 1.31 1.45 1.67 2.43 3.20 3.42 3.56
25+2 1.33 1.47 1.69 2.45 3.22 3.43 3.57
25+3 1.35 1.49 1.71 2.47 3.23 3.45 3.59
25+4 1.37 1.51 1.73 2.49 3.25 3.47 3.61
25+5 1.39 1.53 1.75 2.51 3.28 3.49 3.63
25+6 1.41 1.55 1.77 2.53 3.30 3.51 3.65
26+0 1.43 1.57 1.79 2.55 3.32 3.54 3.68
26+1 1.45 1.59 1.81 2.58 3.34 3.56 3.70
26+2 1.48 1.62 1.83 2.60 3.36 3.58 3.72
26+3 1.50 1.64 1.86 2.62 3.39 3.61 3.75
26+4 1.52 1.66 1.88 2.65 3.41 3.63 3.77
26+5 1.55 1.69 1.91 2.67 3.44 3.65 3.80
26+6 1.57 1.71 1.93 2.70 3.46 3.68 3.82
27+0 1.60 1.74 1.96 2.72 3.49 3.71 3.85
27+1 1.63 1.77 1.99 2.75 3.52 3.73 3.87
27+2 1.66 1.80 2.01 2.78 3.54 3.76 3.90
27+3 1.68 1.83 2.04 2.81 3.57 3.79 3.93
27+4 1.71 1.85 2.07 2.84 3.60 3.82 3.96
27+5 1.74 1.88 2.10 2.87 3.63 3.85 3.99
27+6 1.78 1.92 2.13 2.90 3.66 3.88 4.02
28+0 1.81 1.95 2.17 2.93 3.69 3.91 4.05
28+1 1.84 1.98 2.20 2.96 3.73 3.95 4.09
28+2 1.87 2.01 2.23 3.00 3.76 3.98 4.12
28+3 1.91 2.05 2.26 3.03 3.79 4.01 4.15
28+4 1.94 2.08 2.30 3.06 3.83 4.05 4.19
28+5 1.98 2.12 2.33 3.10 3.86 4.08 4.22
28+6 2.01 2.15 2.37 3.14 3.90 4.12 4.26
29+0 2.05 2.19 2.41 3.17 3.94 4.16 4.30
29+1 2.09 2.23 2.45 3.21 3.97 4.19 4.33
29+2 2.13 2.27 2.48 3.25 4.01 4.23 4.37
29+3 2.16 2.30 2.52 3.29 4.05 4.27 4.41
29+4 2.20 2.34 2.56 3.33 4.09 4.31 4.45
29+5 2.25 2.39 2.60 3.37 4.13 4.35 4.49
29+6 2.29 2.43 2.65 3.41 4.18 4.39 4.53
30+0 2.33 2.47 2.69 3.45 4.22 4.44 4.58
30+1 2.37 2.51 2.73 3.50 4.26 4.48 4.62
30+2 2.42 2.56 2.78 3.54 4.31 4.52 4.66
30+3 2.46 2.60 2.82 3.59 4.35 4.57 4.71
30+4 2.51 2.65 2.87 3.63 4.40 4.61 4.76
30+5 2.56 2.70 2.91 3.68 4.44 4.66 4.80
30+6 2.60 2.74 2.96 3.73 4.49 4.71 4.85
31+0 2.65 2.79 3.01 3.77 4.54 4.76 4.90
31+1 2.70 2.84 3.06 3.82 4.59 4.81 4.95
31+2 2.75 2.89 3.11 3.87 4.64 4.86 5.00
31+3 2.80 2.94 3.16 3.93 4.69 4.91 5.05
31+4 2.85 2.99 3.21 3.98 4.74 4.96 5.10
31+5 2.91 3.05 3.27 4.03 4.80 5.01 5.15
31+6 2.96 3.10 3.32 4.08 4.85 5.07 5.21
32+0 3.02 3.16 3.37 4.14 4.90 5.12 5.26
32+1 3.07 3.21 3.43 4.19 4.96 5.18 5.32
32+2 3.13 3.27 3.49 4.25 5.02 5.23 5.37
32+3 3.19 3.33 3.54 4.31 5.07 5.29 5.43
32+4 3.24 3.38 3.60 4.37 5.13 5.35 5.49
32+5 3.30 3.44 3.66 4.43 5.19 5.41 5.55
32+6 3.36 3.50 3.72 4.49 5.25 5.47 5.61
33+0 3.09 3.26 3.53 4.48 5.44 5.71 5.88
33+1 3.16 3.34 3.61 4.56 5.51 5.78 5.95
33+2 3.23 3.41 3.68 4.63 5.58 5.85 6.02
33+3 3.31 3.48 3.75 4.70 5.64 5.91 6.09
33+4 3.38 3.55 3.82 4.76 5.71 5.98 6.15
33+5 3.44 3.62 3.89 4.83 5.78 6.04 6.22
33+6 3.51 3.69 3.95 4.90 5.84 6.11 6.28
34+0 3.58 3.75 4.02 4.96 5.90 6.17 6.34
34+1 3.64 3.82 4.08 5.02 5.96 6.23 6.40
34+2 3.71 3.88 4.15 5.09 6.02 6.29 6.46
34+3 3.77 3.94 4.21 5.15 6.08 6.35 6.52
34+4 3.83 4.00 4.27 5.21 6.14 6.41 6.58
34+5 3.89 4.07 4.33 5.27 6.20 6.47 6.64
34+6 3.95 4.12 4.39 5.32 6.25 6.52 6.69
35+0 4.01 4.18 4.45 5.38 6.31 6.58 6.75
35+1 4.07 4.24 4.51 5.43 6.36 6.63 6.80
35+2 4.13 4.30 4.56 5.49 6.42 6.68 6.85
35+3 4.18 4.35 4.62 5.54 6.47 6.73 6.90
35+4 4.24 4.41 4.67 5.59 6.52 6.78 6.95
35+5 4.29 4.46 4.72 5.65 6.57 6.83 7.00
35+6 4.34 4.51 4.77 5.70 6.62 6.88 7.05
36+0 4.39 4.56 4.82 5.74 6.66 6.93 7.10
36+1 4.44 4.61 4.87 5.79 6.71 6.97 7.14
36+2 4.49 4.66 4.92 5.84 6.76 7.02 7.19
36+3 4.54 4.71 4.97 5.89 6.80 7.06 7.23
36+4 4.59 4.76 5.02 5.93 6.85 7.11 7.28
36+5 4.64 4.80 5.06 5.98 6.89 7.15 7.32
36+6 4.68 4.85 5.11 6.02 6.93 7.19 7.36
37+0 4.73 4.89 5.15 6.06 6.97 7.23 7.40
37+1 4.77 4.94 5.20 6.11 7.01 7.27 7.44
37+2 4.81 4.98 5.24 6.15 7.05 7.31 7.48
37+3 4.86 5.02 5.28 6.19 7.09 7.35 7.52
37+4 4.90 5.06 5.32 6.23 7.13 7.39 7.55
37+5 4.94 5.11 5.36 6.27 7.17 7.43 7.59
37+6 4.98 5.15 5.40 6.30 7.20 7.46 7.63
38+0 5.02 5.18 5.44 6.34 7.24 7.50 7.66
38+1 5.06 5.22 5.48 6.38 7.28 7.53 7.70
38+2 5.10 5.26 5.52 6.41 7.31 7.57 7.73
38+3 5.13 5.30 5.55 6.45 7.34 7.60 7.76
38+4 5.17 5.33 5.59 6.48 7.38 7.63 7.79
38+5 5.20 5.37 5.62 6.52 7.41 7.66 7.83
38+6 5.24 5.40 5.66 6.55 7.44 7.69 7.86
39+0 5.27 5.44 5.69 6.58 7.47 7.72 7.89
39+1 5.31 5.47 5.72 6.61 7.50 7.75 7.92
39+2 5.34 5.50 5.76 6.64 7.53 7.78 7.94
39+3 5.37 5.54 5.79 6.67 7.56 7.81 7.97
39+4 5.40 5.57 5.82 6.70 7.59 7.84 8.00
39+5 5.44 5.60 5.85 6.73 7.61 7.86 8.03
39+6 5.47 5.63 5.88 6.76 7.64 7.89 8.05
40+0 5.50 5.66 5.91 6.79 7.67 7.92 8.08
40+1 5.53 5.69 5.94 6.81 7.69 7.94 8.10
40+2 5.55 5.71 5.96 6.84 7.72 7.97 8.13
40+3 5.58 5.74 5.99 6.87 7.74 7.99 8.15
40+4 5.61 5.77 6.02 6.89 7.76 8.01 8.17
40+5 5.64 5.80 6.04 6.92 7.79 8.04 8.20
40+6 5.66 5.82 6.07 6.94 7.81 8.06 8.22
41+0 5.69 5.85 6.10 6.96 7.83 8.08 8.24
41+1 5.71 5.87 6.12 6.99 7.85 8.10 8.26
41+2 5.74 5.90 6.14 7.01 7.88 8.12 8.28
41+3 5.76 5.92 6.17 7.03 7.90 8.14 8.30
41+4 5.79 5.94 6.19 7.05 7.92 8.16 8.32
41+5 5.81 5.97 6.21 7.07 7.94 8.18 8.34
41+6 5.83 5.99 6.23 7.09 7.95 8.20 8.36
42+0 5.85 6.01 6.26 7.11 7.97 8.22 8.37
42+1 5.88 6.03 6.28 7.13 7.99 8.23 8.39
42+2 5.90 6.05 6.30 7.15 8.01 8.25 8.41
42+3 5.92 6.07 6.32 7.17 8.03 8.27 8.43
42+4 5.94 6.09 6.34 7.19 8.04 8.28 8.44
42+5 5.96 6.11 6.36 7.21 8.06 8.30 8.46
42+6 5.98 6.13 6.37 7.22 8.07 8.32 8.47
