24+0 0.51 1.11 1.71 2.31 2.90 3.50 4.10
24+1 0.53 1.13 1.72 2.32 2.92 3.52 4.11
24+2 0.54 1.14 1.74 2.33 2.93 3.53 4.13
24+3 0.56 1.15 1.75 2.35 2.95 3.54 4.14
24+4 0.57 1.17 1.77 2.36 2.96 3.56 4.16
24+5 0.59 1.19 1.78 2.38 2.98 3.58 4.17
24+6 0.60 1.20 1.80 2.40 2.99 3.59 4.19
25+0 0.62 1.22 1.82 2.41 3.01 3.61 4.21
25+1 0.64 1.24 1.84 2.43 3.03 3.63 4.23
25+2 0.66 1.26 1.85 2.45 3.05 3.65 4.24
25+3 0.68 1.28 1.87 2.47 3.07 3.67 4.26
25+4 0.70 1.29 1.89 2.49 3.09 3.68 4.28
25+5 0.72 1.32 1.91 2.51 3.11 3.71 4.30
25+6 0.74 1.34 1.93 2.53 3.13 3.73 4.32
26+0 0.76 1.36 1.96 2.55 3.15 3.75 4.35
26+1 0.78 1.38 1.98 2.58 3.17 3.77 4.37
26+2 0.81 1.40 2.00 2.60 3.20 3.79 4.39
26+3 0.83 1.43 2.02 2.62 3.22 3.82 4.41
26+4 0.85 1.45 2.05 2.65 3.24 3.84 4.44
26+5 0.88 1.48 2.07 2.67 3.27 3.87 4.46
26+6 0.91 1.50 2.10 2.70 3.30 3.89 4.49
27+0 0.93 1.53 2.13 2.72 3.32 3.92 4.52
27+1 0.96 1.56 2.15 2.75 3.35 3.95 4.54
27+2 0.99 1.58 2.18 2.78 3.38 3.97 4.57
27+3 1.02 1.61 2.21 2.81 3.41 4.00 4.60
27+4 1.04 1.64 2.24 2.84 3.43 4.03 4.63
27+5 1.08 1.67 2.27 2.87 3.47 4.06 4.66
27+6 1.11 1.70 2.30 2.90 3.50 4.09 4.69
28+0 1.14 1.73 2.33 2.93 3.53 4.12 4.72
28+1 1.17 1.77 2.36 2.96 3.56 4.16 4.75
28+2 1.20 1.80 2.40 3.00 3.59 4.19 4.79
28+3 1.24 1.83 2.43 3.03 3.63 4.22 4.82
28+4 1.27 1.87 2.47 3.06 3.66 4.26 4.86
28+5 1.31 1.90 2.50 3.10 3.70 4.29 4.89
28+6 1.34 1.94 2.54 3.14 3.73 4.33 4.93
29+0 1.38 1.98 2.57 3.17 3.77 4.37 4.96
29+1 1.42 2.01 2.61 3.21 3.81 4.40 5.00
29+2 1.46 2.05 2.65 3.25 3.85 4.44 5.04
29+3 1.50 2.09 2.69 3.29 3.89 4.48 5.08
29+4 1.54 2.13 2.73 3.33 3.93 4.52 5.12
29+5 1.58 2.17 2.77 3.37 3.97 4.56 5.16
29+6 1.62 2.22 2.81 3.41 4.01 4.61 5.20
30+0 1.66 2.26 2.86 3.45 4.05 4.65 5.25
30+1 1.70 2.30 2.90 3.50 4.09 4.69 5.29
30+2 1.75 2.35 2.94 3.54 4.14 4.74 5.33
30+3 1.79 2.39 2.99 3.59 4.18 4.78 5.38
30+4 1.84 2.44 3.03 3.63 4.23 4.83 5.42
30+5 1.89 2.48 3.08 3.68 4.28 4.87 5.47
30+6 1.93 2.53 3.13 3.73 4.32 4.92 5.52
31+0 1.98 2.58 3.18 3.77 4.37 4.97 5.57
