27 0.33 0.40 0.50 0.61 0.75 0.93 1.14
28 0.42 0.51 0.62 0.76 0.92 1.12 1.37
29 0.52 0.63 0.76 0.91 1.10 1.33 1.61
30 0.63 0.76 0.91 1.09 1.30 1.55 1.86
31 0.75 0.90 1.06 1.27 1.51 1.79 2.13
32 0.88 1.04 1.23 1.46 1.72 2.03 2.40
33 1.02 1.20 1.41 1.65 1.94 2.29 2.69
34 1.16 1.36 1.59 1.86 2.17 2.55 2.98
35 1.30 1.52 1.77 2.07 2.41 2.81 3.27
36 1.45 1.69 1.96 2.28 2.65 3.08 3.57
37 1.60 1.86 2.15 2.49 2.89 3.34 3.87
38 1.75 2.03 2.34 2.71 3.13 3.61 4.17
39 1.91 2.20 2.53 2.92 3.37 3.88 4.48
40 2.06 2.37 2.72 3.13 3.61 4.15 4.77
41 2.21 2.54 2.91 3.35 3.84 4.41 5.07
42 2.36 2.70 3.10 3.55 4.08 4.68 5.36
43 2.50 2.87 3.28 3.76 4.31 4.93 5.65
44 2.65 3.03 3.47 3.96 4.54 5.19 5.94
45 2.79 3.19 3.64 4.16 4.76 5.44 6.22
46 2.93 3.34 3.82 4.36 4.98 5.69 6.49
47 3.06 3.50 3.99 4.55 5.19 5.93 6.76
48 3.20 3.64 4.16 4.74 5.40 6.16 7.03
49 3.32 3.79 4.32 4.92 5.61 6.39 7.28
50 3.45 3.93 4.48 5.10 5.81 6.62 7.54
51 3.57 4.07 4.63 5.27 6.00 6.83 7.78
52 3.69 4.20 4.78 5.44 6.19 7.05 8.02
53 3.80 4.33 4.92 5.60 6.38 7.26 8.26
54 3.91 4.45 5.07 5.76 6.56 7.46 8.48
55 4.02 4.57 5.20 5.92 6.73 7.65 8.71
56 4.12 4.69 5.33 6.07 6.90 7.85 8.92
57 4.23 4.80 5.46 6.21 7.06 8.03 9.13
58 4.32 4.91 5.59 6.35 7.22 8.21 9.34
59 4.42 5.02 5.71 6.49 7.38 8.39 9.54
60 4.51 5.12 5.82 6.62 7.53 8.56 9.73
61 4.59 5.22 5.94 6.75 7.67 8.72 9.92
62 4.68 5.32 6.05 6.87 7.81 8.88 10.10
63 4.76 5.41 6.15 6.99 7.95 9.04 10.28
64 4.84 5.50 6.25 7.11 8.08 9.19 10.45
