35 0.46 0.5 0.58 0.83 1.08 1.16 1.2
35.1 0.46 0.51 0.58 0.84 1.09 1.16 1.21
35.2 0.47 0.52 0.59 0.85 1.1 1.17 1.22
35.3 0.48 0.53 0.6 0.85 1.11 1.18 1.23
35.4 0.49 0.53 0.61 0.86 1.12 1.19 1.24
35.5 0.49 0.54 0.61 0.87 1.13 1.2 1.25
35.6 0.5 0.55 0.62 0.88 1.14 1.21 1.26
35.7 0.51 0.56 0.63 0.89 1.15 1.22 1.27
35.8 0.52 0.57 0.64 0.9 1.16 1.23 1.28
35.9 0.53 0.58 0.65 0.91 1.17 1.24 1.29
36 0.54 0.59 0.66 0.92 1.18 1.25 1.3
36.1 0.55 0.6 0.67 0.93 1.19 1.26 1.31
36.2 0.56 0.61 0.68 0.94 1.2 1.27 1.32
36.3 0.57 0.62 0.69 0.95 1.21 1.28 1.33
36.4 0.58 0.63 0.7 0.96 1.22 1.3 1.34
36.5 0.59 0.64 0.71 0.97 1.23 1.31 1.36
36.6 0.6 0.65 0.72 0.98 1.25 1.32 1.37
36.7 0.61 0.66 0.73 1 1.26 1.33 1.38
36.8 0.62 0.67 0.74 1.01 1.27 1.35 1.39
36.9 0.63 0.68 0.76 1.02 1.28 1.36 1.41
37 0.64 0.69 0.77 1.03 1.3 1.37 1.42
37.1 0.66 0.7 0.78 1.04 1.31 1.39 1.43
37.2 0.67 0.72 0.79 1.06 1.32 1.4 1.45
37.3 0.68 0.73 0.8 1.07 1.34 1.41 1.46
37.4 0.69 0.74 0.82 1.08 1.35 1.43 1.48
37.5 0.71 0.75 0.83 1.1 1.36 1.44 1.49
37.6 0.72 0.77 0.84 1.11 1.38 1.45 1.5
37.7 0.73 0.78 0.86 1.12 1.39 1.47 1.52
37.8 0.74 0.79 0.87 1.14 1.41 1.48 1.53
37.9 0.76 0.81 0.88 1.15 1.42 1.5 1.55
38 0.77 0.82 0.9 1.17 1.44 1.51 1.56
38.1 0.78 0.83 0.91 1.18 1.45 1.53 1.58
38.2 0.8 0.85 0.93 1.2 1.47 1.54 1.59
38.3 0.81 0.86 0.94 1.21 1.48 1.56 1.61
38.4 0.83 0.88 0.95 1.23 1.5 1.58 1.63
38.5 0.84 0.89 0.97 1.24 1.51 1.59 1.64
38.6 0.86 0.91 0.98 1.26 1.53 1.61 1.66
38.7 0.87 0.92 1 1.27 1.55 1.62 1.67
38.8 0.88 0.93 1.01 1.29 1.56 1.64 1.69
38.9 0.9 0.95 1.03 1.3 1.58 1.66 1.71
39 0.91 0.96 1.04 1.32 1.6 1.67 1.72
39.1 0.93 0.98 1.06 1.33 1.61 1.69 1.74
39.2 0.94 1 1.07 1.35 1.63 1.71 1.76
39.3 0.96 1.01 1.09 1.37 1.65 1.72 1.78
39.4 0.97 1.03 1.1 1.38 1.66 1.74 1.79
39.5 0.99 1.04 1.12 1.4 1.68 1.76 1.81
39.6 1.01 1.06 1.14 1.42 1.7 1.78 1.83
39.7 1.02 1.07 1.15 1.43 1.71 1.79 1.84
39.8 1.04 1.09 1.17 1.45 1.73 1.81 1.86
39.9 1.05 1.1 1.18 1.47 1.75 1.83 1.88
40 1.07 1.12 1.2 1.48 1.77 1.85 1.9
40.1 1.09 1.14 1.22 1.5 1.78 1.86 1.92
40.2 1.1 1.15 1.23 1.52 1.8 1.88 1.93
40.3 1.12 1.17 1.25 1.54 1.82 1.9 1.95
40.4 1.13 1.19 1.27 1.55 1.84 1.92 1.97
40.5 1.15 1.2 1.28 1.57 1.86 1.94 1.99
40.6 1.17 1.22 1.3 1.59 1.87 1.96 2.01
40.7 1.18 1.24 1.32 1.61 1.89 1.97 2.03
40.8 1.2 1.25 1.33 1.62 1.91 1.99 2.05
40.9 1.22 1.27 1.35 1.64 1.93 2.01 2.06
41 1.23 1.29 1.37 1.66 1.95 2.03 2.08
41.1 1.25 1.3 1.39 1.68 1.97 2.05 2.1
41.2 1.27 1.32 1.4 1.69 1.99 2.07 2.12
41.3 1.28 1.34 1.42 1.71 2 2.09 2.14
41.4 1.3 1.36 1.44 1.73 2.02 2.11 2.16
41.5 1.32 1.37 1.46 1.75 2.04 2.13 2.18
41.6 1.34 1.39 1.47 1.77 2.06 2.14 2.2
41.7 1.35 1.41 1.49 1.79 2.08 2.16 2.22
41.8 1.37 1.42 1.51 1.8 2.1 2.18 2.24
41.9 1.39 1.44 1.53 1.82 2.12 2.2 2.26
42 1.4 1.46 1.54 1.84 2.14 2.22 2.28
42.1 1.42 1.48 1.56 1.86 2.16 2.24 2.3
42.2 1.44 1.49 1.58 1.88 2.18 2.26 2.32
42.3 1.46 1.51 1.6 1.9 2.2 2.28 2.34
42.4 1.47 1.53 1.61 1.92 2.22 2.3 2.36
42.5 1.49 1.55 1.63 1.93 2.24 2.32 2.38
42.6 1.51 1.57 1.65 1.95 2.25 2.34 2.4
42.7 1.53 1.58 1.67 1.97 2.27 2.36 2.42
42.8 1.55 1.6 1.69 1.99 2.29 2.38 2.44
42.9 1.56 1.62 1.71 2.01 2.31 2.4 2.46
43 1.58 1.64 1.72 2.03 2.33 2.42 2.48
43.1 1.6 1.65 1.74 2.05 2.35 2.44 2.5
43.2 1.62 1.67 1.76 2.07 2.37 2.46 2.52
43.3 1.63 1.69 1.78 2.09 2.39 2.48 2.54
43.4 1.65 1.71 1.8 2.1 2.41 2.5 2.56
43.5 1.67 1.73 1.81 2.12 2.43 2.52 2.58
43.6 1.69 1.74 1.83 2.14 2.45 2.54 2.6
43.7 1.71 1.76 1.85 2.16 2.47 2.56 2.62
43.8 1.72 1.78 1.87 2.18 2.49 2.58 2.64
43.9 1.74 1.8 1.89 2.2 2.51 2.6 2.66
44 1.76 1.82 1.91 2.22 2.53 2.62 2.68
44.1 1.78 1.84 1.92 2.24 2.55 2.64 2.7
44.2 1.8 1.85 1.94 2.26 2.57 2.66 2.72
44.3 1.81 1.87 1.96 2.28 2.59 2.68 2.74
44.4 1.83 1.89 1.98 2.3 2.61 2.7 2.76
44.5 1.85 1.91 2 2.32 2.64 2.73 2.78
44.6 1.87 1.93 2.02 2.34 2.66 2.75 2.81
44.7 1.89 1.94 2.04 2.36 2.68 2.77 2.83
44.8 1.9 1.96 2.05 2.38 2.7 2.79 2.85
44.9 1.92 1.98 2.07 2.39 2.72 2.81 2.87
45 1.94 2 2.09 2.41 2.74 2.83 2.89
45.1 1.96 2.02 2.11 2.43 2.76 2.85 2.91
45.2 1.98 2.04 2.13 2.45 2.78 2.87 2.93
45.3 1.99 2.05 2.15 2.47 2.8 2.89 2.95
45.4 2.01 2.07 2.16 2.49 2.82 2.91 2.97
45.5 2.03 2.09 2.18 2.51 2.84 2.93 2.99
45.6 2.05 2.11 2.2 2.53 2.86 2.95 3.01
45.7 2.07 2.13 2.22 2.55 2.88 2.97 3.04
45.8 2.08 2.14 2.24 2.57 2.9 3 3.06
45.9 2.1 2.16 2.26 2.59 2.92 3.02 3.08
46 2.12 2.18 2.28 2.61 2.94 3.04 3.1
46.1 2.14 2.2 2.29 2.63 2.96 3.06 3.12
46.2 2.16 2.22 2.31 2.65 2.98 3.08 3.14
46.3 2.17 2.24 2.33 2.67 3 3.1 3.16
46.4 2.19 2.25 2.35 2.69 3.03 3.12 3.18
46.5 2.21 2.27 2.37 2.71 3.05 3.14 3.2
46.6 2.23 2.29 2.39 2.73 3.07 3.16 3.23
46.7 2.25 2.31 2.4 2.75 3.09 3.18 3.25
46.8 2.26 2.33 2.42 2.77 3.11 3.2 3.27
46.9 2.28 2.34 2.44 2.79 3.13 3.23 3.29
47 2.3 2.36 2.46 2.8 3.15 3.25 3.31
47.1 2.32 2.38 2.48 2.82 3.17 3.27 3.33
47.2 2.33 2.4 2.5 2.84 3.19 3.29 3.35
47.3 2.35 2.42 2.52 2.86 3.21 3.31 3.37
47.4 2.37 2.43 2.53 2.88 3.23 3.33 3.39
47.5 2.39 2.45 2.55 2.9 3.25 3.35 3.42
47.6 2.41 2.47 2.57 2.92 3.27 3.37 3.44
47.7 2.42 2.49 2.59 2.94 3.29 3.39 3.46
47.8 2.44 2.51 2.61 2.96 3.31 3.41 3.48
47.9 2.46 2.52 2.63 2.98 3.34 3.44 3.5
48 2.48 2.54 2.64 3 3.36 3.46 3.52
48.1 2.49 2.56 2.66 3.02 3.38 3.48 3.54
48.2 2.51 2.58 2.68 3.04 3.4 3.5 3.56
48.3 2.53 2.6 2.7 3.06 3.42 3.52 3.59
48.4 2.55 2.61 2.72 3.08 3.44 3.54 3.61
48.5 2.56 2.63 2.73 3.1 3.46 3.56 3.63
48.6 2.58 2.65 2.75 3.12 3.48 3.58 3.65
48.7 2.6 2.67 2.77 3.14 3.5 3.6 3.67
48.8 2.62 2.68 2.79 3.15 3.52 3.62 3.69
48.9 2.63 2.7 2.81 3.17 3.54 3.65 3.71
49 2.65 2.72 2.82 3.19 3.56 3.67 3.73
49.1 2.67 2.74 2.84 3.21 3.58 3.69 3.76
49.2 2.69 2.75 2.86 3.23 3.6 3.71 3.78
49.3 2.7 2.77 2.88 3.25 3.62 3.73 3.8
49.4 2.72 2.79 2.9 3.27 3.64 3.75 3.82
49.5 2.74 2.81 2.91 3.29 3.67 3.77 3.84
49.6 2.76 2.82 2.93 3.31 3.69 3.79 3.86
49.7 2.77 2.84 2.95 3.33 3.71 3.81 3.88
49.8 2.79 2.86 2.97 3.35 3.73 3.83 3.9
49.9 2.81 2.88 2.99 3.37 3.75 3.86 3.93
50 2.82 2.89 3 3.39 3.77 3.88 3.95
50.1 2.84 2.91 3.02 3.4 3.79 3.9 3.97
50.2 2.86 2.93 3.04 3.42 3.81 3.92 3.99
50.3 2.87 2.95 3.06 3.44 3.83 3.94 4.01
50.4 2.89 2.96 3.07 3.46 3.85 3.96 4.03
50.5 2.91 2.98 3.09 3.48 3.87 3.98 4.05
50.6 2.93 3 3.11 3.5 3.89 4 4.07
50.7 2.94 3.01 3.13 3.52 3.91 4.02 4.1
50.8 2.96 3.03 3.14 3.54 3.93 4.04 4.12
50.9 2.98 3.05 3.16 3.56 3.95 4.06 4.14
51 2.99 3.07 3.18 3.58 3.97 4.09 4.16
51.1 3.01 3.08 3.2 3.59 3.99 4.11 4.18
51.2 3.03 3.1 3.21 3.61 4.01 4.13 4.2
51.3 3.04 3.12 3.23 3.63 4.03 4.15 4.22
51.400000000000006 3.06 3.13 3.25 3.65 4.05 4.17 4.24
51.5 3.07 3.15 3.26 3.67 4.07 4.19 4.26
51.6 3.09 3.17 3.28 3.69 4.09 4.21 4.29
51.7 3.11 3.18 3.3 3.71 4.12 4.23 4.31
51.8 3.12 3.2 3.32 3.73 4.14 4.25 4.33
51.900000000000006 3.14 3.22 3.33 3.74 4.16 4.27 4.35
52 3.16 3.23 3.35 3.76 4.18 4.29 4.37
52.1 3.17 3.25 3.37 3.78 4.2 4.31 4.39
52.2 3.19 3.26 3.38 3.8 4.22 4.33 4.41
52.3 3.2 3.28 3.4 3.82 4.24 4.36 4.43
52.400000000000006 3.22 3.3 3.42 3.84 4.26 4.38 4.45
52.5 3.24 3.31 3.43 3.86 4.28 4.4 4.47
52.6 3.25 3.33 3.45 3.87 4.3 4.42 4.5
52.7 3.27 3.35 3.47 3.89 4.32 4.44 4.52
52.8 3.28 3.36 3.48 3.91 4.34 4.46 4.54
52.900000000000006 3.3 3.38 3.5 3.93 4.36 4.48 4.56
53 3.32 3.39 3.52 3.95 4.38 4.5 4.58
53.1 3.33 3.41 3.53 3.97 4.4 4.52 4.6
53.2 3.35 3.43 3.55 3.98 4.42 4.54 4.62
53.3 3.36 3.44 3.57 4 4.44 4.56 4.64
53.400000000000006 3.38 3.46 3.58 4.02 4.46 4.58 4.66
53.5 3.39 3.47 3.6 4.04 4.48 4.6 4.68
53.6 3.41 3.49 3.61 4.06 4.5 4.62 4.71
53.7 3.42 3.51 3.63 4.07 4.52 4.64 4.73
53.8 3.44 3.52 3.65 4.09 4.54 4.67 4.75
53.900000000000006 3.45 3.54 3.66 4.11 4.56 4.69 4.77
54 3.47 3.55 3.68 4.13 4.58 4.71 4.79
54.1 3.48 3.57 3.7 4.15 4.6 4.73 4.81
54.2 3.5 3.58 3.71 4.16 4.62 4.75 4.83
54.3 3.51 3.6 3.73 4.18 4.64 4.77 4.85
54.400000000000006 3.53 3.61 3.74 4.2 4.66 4.79 4.87
54.5 3.54 3.63 3.76 4.22 4.68 4.81 4.89
54.6 3.56 3.64 3.77 4.24 4.7 4.83 4.91
54.7 3.57 3.66 3.79 4.25 4.72 4.85 4.93
54.8 3.59 3.67 3.81 4.27 4.74 4.87 4.96
54.900000000000006 3.6 3.69 3.82 4.29 4.76 4.89 4.98
55 3.62 3.7 3.84 4.31 4.78 4.91 5
55.1 3.63 3.72 3.85 4.33 4.8 4.93 5.02
55.2 3.65 3.73 3.87 4.34 4.82 4.95 5.04
55.3 3.66 3.75 3.88 4.36 4.84 4.97 5.06
55.400000000000006 3.68 3.76 3.9 4.38 4.86 4.99 5.08
55.5 3.69 3.78 3.91 4.4 4.88 5.01 5.1
55.6 3.7 3.79 3.93 4.41 4.9 5.03 5.12
55.7 3.72 3.81 3.95 4.43 4.92 5.05 5.14
55.8 3.73 3.82 3.96 4.45 4.94 5.07 5.16
55.900000000000006 3.75 3.84 3.98 4.47 4.96 5.09 5.18
56 3.76 3.85 3.99 4.48 4.97 5.11 5.2
56.1 3.77 3.87 4.01 4.5 4.99 5.13 5.23
56.2 3.79 3.88 4.02 4.52 5.01 5.15 5.25
56.3 3.8 3.89 4.04 4.53 5.03 5.18 5.27
56.400000000000006 3.82 3.91 4.05 4.55 5.05 5.2 5.29
56.5 3.83 3.92 4.07 4.57 5.07 5.22 5.31
56.6 3.84 3.94 4.08 4.59 5.09 5.24 5.33
56.7 3.86 3.95 4.09 4.6 5.11 5.26 5.35
56.8 3.87 3.96 4.11 4.62 5.13 5.28 5.37
56.900000000000006 3.88 3.98 4.12 4.64 5.15 5.3 5.39
57 3.9 3.99 4.14 4.65 5.17 5.32 5.41
57.1 3.91 4.01 4.15 4.67 5.19 5.34 5.43
57.2 3.92 4.02 4.17 4.69 5.21 5.36 5.45
57.3 3.94 4.03 4.18 4.71 5.23 5.38 5.47
57.400000000000006 3.95 4.05 4.2 4.72 5.25 5.4 5.49
57.5 3.96 4.06 4.21 4.74 5.27 5.42 5.52
57.6 3.98 4.07 4.22 4.76 5.29 5.44 5.54
57.7 3.99 4.09 4.24 4.77 5.31 5.46 5.56
57.8 4 4.1 4.25 4.79 5.33 5.48 5.58
57.900000000000006 4.01 4.11 4.27 4.81 5.35 5.5 5.6
58 4.03 4.13 4.28 4.82 5.37 5.52 5.62
58.1 4.04 4.14 4.29 4.84 5.38 5.54 5.64
58.2 4.05 4.15 4.31 4.86 5.4 5.56 5.66
58.3 4.07 4.17 4.32 4.87 5.42 5.58 5.68
58.400000000000006 4.08 4.18 4.34 4.89 5.44 5.6 5.7
58.5 4.09 4.19 4.35 4.91 5.46 5.62 5.72
58.6 4.1 4.21 4.36 4.92 5.48 5.64 5.74
58.7 4.11 4.22 4.38 4.94 5.5 5.66 5.76
58.8 4.13 4.23 4.39 4.96 5.52 5.68 5.78
58.900000000000006 4.14 4.24 4.4 4.97 5.54 5.7 5.8
59 4.15 4.26 4.42 4.99 5.56 5.72 5.83
59.1 4.16 4.27 4.43 5 5.58 5.74 5.85
59.2 4.17 4.28 4.44 5.02 5.6 5.76 5.87
59.3 4.19 4.29 4.46 5.04 5.62 5.78 5.89
59.400000000000006 4.2 4.31 4.47 5.05 5.64 5.8 5.91
59.5 4.21 4.32 4.48 5.07 5.65 5.82 5.93
59.6 4.22 4.33 4.5 5.09 5.67 5.84 5.95
59.7 4.23 4.34 4.51 5.1 5.69 5.86 5.97
59.8 4.24 4.35 4.52 5.12 5.71 5.88 5.99
59.900000000000006 4.26 4.37 4.54 5.13 5.73 5.9 6.01
60 4.27 4.38 4.55 5.15 5.75 5.92 6.03
60.1 4.28 4.39 4.56 5.17 5.77 5.94 6.05
60.2 4.29 4.4 4.57 5.18 5.79 5.96 6.07
60.3 4.3 4.41 4.59 5.2 5.81 5.98 6.09
60.400000000000006 4.31 4.42 4.6 5.21 5.83 6 6.12
60.5 4.32 4.44 4.61 5.23 5.85 6.02 6.14
60.6 4.33 4.45 4.62 5.24 5.87 6.04 6.16
60.7 4.34 4.46 4.64 5.26 5.89 6.06 6.18
60.8 4.35 4.47 4.65 5.28 5.9 6.08 6.2
60.900000000000006 4.36 4.48 4.66 5.29 5.92 6.1 6.22
61 4.38 4.49 4.67 5.31 5.94 6.12 6.24
61.1 4.39 4.5 4.68 5.32 5.96 6.14 6.26
61.2 4.4 4.51 4.7 5.34 5.98 6.16 6.28
61.3 4.41 4.53 4.71 5.35 6 6.18 6.3
61.400000000000006 4.42 4.54 4.72 5.37 6.02 6.2 6.32
61.5 4.43 4.55 4.73 5.39 6.04 6.22 6.34
61.6 4.44 4.56 4.74 5.4 6.06 6.24 6.36
61.7 4.45 4.57 4.76 5.42 6.08 6.26 6.39
61.8 4.46 4.58 4.77 5.43 6.1 6.28 6.41
61.900000000000006 4.47 4.59 4.78 5.45 6.11 6.3 6.43
62 4.48 4.6 4.79 5.46 6.13 6.32 6.45
62.1 4.49 4.61 4.8 5.48 6.15 6.34 6.47
62.2 4.49 4.62 4.81 5.49 6.17 6.36 6.49
62.3 4.5 4.63 4.82 5.51 6.19 6.39 6.51
62.400000000000006 4.51 4.64 4.83 5.52 6.21 6.41 6.53
62.5 4.52 4.65 4.85 5.54 6.23 6.43 6.55
62.6 4.53 4.66 4.86 5.55 6.25 6.45 6.57
62.7 4.54 4.67 4.87 5.57 6.27 6.47 6.6
62.8 4.55 4.68 4.88 5.58 6.29 6.49 6.62
62.900000000000006 4.56 4.69 4.89 5.6 6.31 6.51 6.64
63 4.57 4.7 4.9 5.61 6.33 6.53 6.66
63.1 4.58 4.71 4.91 5.63 6.34 6.55 6.68
63.2 4.58 4.72 4.92 5.64 6.36 6.57 6.7
63.3 4.59 4.73 4.93 5.66 6.38 6.59 6.72
63.400000000000006 4.6 4.74 4.94 5.67 6.4 6.61 6.74
63.5 4.61 4.75 4.95 5.69 6.42 6.63 6.76
63.6 4.62 4.75 4.96 5.7 6.44 6.65 6.79
63.7 4.63 4.76 4.97 5.72 6.46 6.67 6.81
63.8 4.63 4.77 4.98 5.73 6.48 6.69 6.83
63.900000000000006 4.64 4.78 4.99 5.75 6.5 6.71 6.85
64 4.65 4.79 5 5.76 6.52 6.73 6.87
64.1 4.66 4.8 5.01 5.78 6.54 6.75 6.89
64.2 4.67 4.81 5.02 5.79 6.56 6.77 6.91
64.3 4.67 4.82 5.03 5.8 6.57 6.79 6.94
64.4 4.68 4.82 5.04 5.82 6.59 6.81 6.96
64.5 4.69 4.83 5.05 5.83 6.61 6.83 6.98
64.6 4.7 4.84 5.06 5.85 6.63 6.86 7
64.7 4.7 4.85 5.07 5.86 6.65 6.88 7.02
64.8 4.71 4.86 5.08 5.88 6.67 6.9 7.04
64.9 4.72 4.86 5.09 5.89 6.69 6.92 7.06
65 4.72 4.87 5.1 5.9 6.71 6.94 7.09
